category,offer_url,price,currency,num_images,street_address,description
mieszkania_sprzedaz,https://adresowo.pl/o/mieszkanie-warszawa-ursus-ul-tadeusza-hennela-2-pokojowe-c6g5x9,,,14,"ul. Tadeusza Hennela, Warszawa Ursus, mazowieckie","Zaoszczędź 16 000 zł i kup mieszkanie bez pośrednika!

Świetna lokalizacja - na skraju nowoczesnego osiedla, dzięki czemu otrzymujemy bliskość zieleni i brak przytłoczenia blokowiskiem oraz labiryntem uliczek, a jednocześnie z dostępem do wszelkich udogodnień się tam znajdujących (lokale usługowe, sklepy), których już jest dużo w bliskiej odległości, a powstają kolejne. Dodatkowo outlet Factory Ursus w odległości 200 metrów.
Blisko szkoły i przedszkola.
Wszystko, co potrzebne do życia, w zasięgu ręki.

Dotarcie z mieszkania do centrum Warszawy w mniej niż 25 min. (komunikacja koleją KM, SKM na bilecie miejskim). Dobry dojazd do obwodnicy, dróg wylotowych z Warszawy i do autostrady.

Mieszkanie wykończone w wysokim standardzie - m.in. wiele punktów światła i meble na wymiar w stałej zabudowie:
- całe wyposażenie kuchni
- szafy w holu i sypialni
- wysoka szafka w łazience zabudowująca pralkę

Mieszkanie składa się z:
- holu (2,72 mkw.)
- salonu z aneksem kuchennym (21,93 mkw.)
- sypialni (11,85 mkw.)
- łazienki (4,92 mkw.)
- balkonu (4,68 mkw.)

Miejsce postojowe w garażu podziemnym (miejsce pod ścianą oraz większa przestrzeń na drzwi z uwagi na sąsiedztwo filaru) - dodatkowo płatne 50 000 zł (zakup obligatoryjny).

Zapraszam do kontaktu!"
mieszkania_sprzedaz,https://adresowo.pl/o/mieszkanie-warszawa-ochota-ul-bitwy-warszawskiej-1920-r-1-pokoj-f2l6u5,,,6,"ul. Bitwy Warszawskiej 1920 r., Warszawa Ochota, mazowieckie","Mieszkanie po generalnym remoncie. Do zamieszkania,na działalność lub inwestycje.Wspaniale skomunikowane.w pobliżu 2 parki,centra handlowe,szkoły,uczelnie,sklepy.Autobus ,wkrótce tramwaj do Dworca Zachodniego itp.elektryczne rolety antywyłamaniowe.Okna zabezpieczone(klamki na kluczyk i szyby antywyłamaniowe)Spokojni sąsiedzi.Zielona okolica i urok Starej Ochoty."
mieszkania_sprzedaz,https://adresowo.pl/o/mieszkanie-warszawa-ursynow-ul-indiry-gandhi-1-pokoj-f8z8t8,,,8,"ul. Indiry Gandhi, Warszawa Ursynów, mazowieckie","Sprzedam bezpośrednio kawalerkę o powierzchni 29,9 m2.

LOKALIZACJA:
- Ursynów, ul. Gandhi, naprzeciwko Szpitala Południowego.
- Liczne linie autobusowe, blisko do stacji metra Imielin, blisko do węzła obwodnicy południowej.

MIESZKANIE:
- Usytuowane na parterze, ale okna wychodzą na teren zamknięty.
- Mieszkanie jest po generalnym remoncie, łazienka w nowoczesnym standardzie.
- Gotowe do wprowadzenia się.

BUDYNEK I OPŁATY:
- Budynek ma ochronę.
- Budynek ma własne ogrzewanie, czynsz poniżej 600 zł z zaliczkami na media i opłatą za garaż.

GARAŻ:
- Miejsce w garażu podziemnym do sprzedania wraz z mieszkaniem, cena 45 000 zł.

INFORMACJE DODATKOWE:
- Zdjęcia przedstawiają faktyczny wygląd mieszkania, bez efektów specjalnych i upiększeń."
mieszkania_sprzedaz,https://adresowo.pl/o/mieszkanie-warszawa-wlochy-ul-trzcinowa-2-pokojowe-x8f6s8,,,7,"ul. Trzcinowa, Warszawa Włochy, mazowieckie",
mieszkania_sprzedaz,https://adresowo.pl/o/mieszkanie-warszawa-wola-ul-ksiecia-janusza-4-pokojowe-u6m3u5,,,4,"ul. Księcia Janusza, Warszawa Wola, mazowieckie","Posiadam na sprzedaż przestronne mieszkanie na Warszawskiej Woli, ul. Księcia Janusza 42.

Budynek wśród zabudowań jednorodzinnych.

Mieszkanie składa się z dwóch sypialni, salonu z aneksem, balkonu, WC, łazienki.
Mieszkanie wyposażone jest w klimatyzację.

Do mieszkania przynależy miejsce parkingowe na poziomie -1, dodatkowo płatne.

Odległość od stacji metra to 500 m.
W pobliżu budynku jest plac zabaw oraz liczne sklepy.

Proszę o niekontaktowanie telefoniczne przez biura podróży, jedynie przez e-mail."
mieszkania_sprzedaz,https://adresowo.pl/o/mieszkanie-warszawa-wlochy-ul-obywatelska-4-pokojowe-z7l2f1,,,13,"ul. Obywatelska, Warszawa Włochy, mazowieckie","Sprzedaż tylko bezpośrednia, pośrednikom dziękujemy!  Nie wyrażamy zgody na składanie ofert handlowych i wykorzystywanie numeru telefonu zgodnie z Ustawą o Prawie komunikacji elektronicznej.

Idealne dla rodziny 2+2! na zamkniętym osiedlu z 2013r.
4 pokoje, wg KW 80,39m2 (w tym komórka), winda, 6 (najwyższe) piętro z przepięknymi widokami na otwartą przestrzeń!

Pełna własność, księga wieczysta, grunty uregulowane, brak jakichkolwiek obciążeń i roszczeń osób trzecich.

Przytulne i słoneczne mieszkanie o powierzchni 76,81m2 posiada:
- przedpokój z wbudowaną szafą wnękową (robioną na wymiar)
- salon z otwartą kuchnią i jadalnią – ekspozycja zachodnia, z otwartą przestrzenią za oknem. Z salonu dostępny jest balkon o pow. 1,65m2
- łazienka z wanną narożną, podgrzewaną podłogą, meblami na wymiar (biały lakier)
- sypialnia małżeńska z balkonem oraz dużą szafą, zorientowana na południe
- za sypialnią wydzielony został widny, cichy pokój, który może stanowić domowe biuro bądź pokój dziecięcy, czy garderobę. Ekspozycja od  strony wschodniej z pięknym widokiem na panoramę Warszawy!
- sypialnia z dużą szafą i oknem skierowanym na zachód

Mieszkanie jest w pełni umeblowane i gotowe do zamieszkania. Wszystkie materiały wykończeniowe oraz meble są wysokiej jakości. Możliwość zamknięcia kuchni, zainstalowania klimatyzacji w razie potrzeby.

Dodatkowo, obligatoryjnie:
Komórka lokatorska - 30 000zł
Miejsce postojowe (nie platforma) w garażu podziemnym tuż przy klatce schodowej z windą - 50 000zł

Czynsz administracyjny 1100zł/5os

Posiadamy charakterystykę energetyczną.

Opis osiedla:
Zamknięte, strzeżone Osiedle Zielona Italia idealne dla rodzin z dziećmi, singli i osób starszych. 
Położone jest wśród domków jednorodzinnych co sprawia, że jest cicho i przytulnie. W okolicy dużo terenów zielonych - Parku Kombatantów oraz Stawy Koziorożca, gdzie organizowane są spotkania sąsiedzkie, można rozpalić grilla oraz skorzystać z dwóch dużych placów zabaw. Samo osiedle posiada na swoim terenie kilka placów zabaw, boiska: do tenisa, piłki nożnej, koszykówki, a to wszystko do wyłącznego użytku mieszkańców. Osiedle ma całodobową ochronę i monitoring oraz oferuje dostęp do punktów usługowych - przedszkole, sklepy, restauracja, kawiarnia, salony fryzjerskie oraz kosmetyczne.

Bardzo dobra komunikacja z Centrum - 25 min
- przystanek autobusowy 5min pieszo (autobusy:127, 177, 194, 220)
- PKP Warszawa Ursus Północny (5 min pieszo) (R3, S1)

Spokojna, zielona okolica.
Sklepy spożywcze i usługi:
+ 1min pieszo - Carrefour Express, Żabki, Stokrotka, piekarnia/cukiernia, warzywniak, pizzeria, sushi, pralnia, fryzjerzy i kosmetyczki.
+ 15min pieszo (5min autem) - Biedronka
+ 8min pieszo - Factory Ursus (Rossmann, Empik itp.)
+ 5 min pieszo apteka
+ otwarcie stacji metra M2 Karolin planowane na 2026, a w przyszłości stacji Ursus Północny

Niniejsza oferta nie jest ofertą handlową w rozumieniu Kodeksu Cywilnego.

Zapraszam serdecznie do kontaktu i prezentacji mieszkania!

Tel. 507 042 072

Pomożemy w kredytowaniu i dokonaniu formalności!"
mieszkania_sprzedaz,https://adresowo.pl/o/mieszkanie-warszawa-srodmiescie-ul-nowogrodzka-5-pokojowe-e9f9f3,,,6,"ul. Nowogrodzka, Warszawa Śródmieście, mazowieckie","Do sprzedania mieszkanie w ścisłym centrum przy ul. Nowogrodzkiej 48 w kamienicy z 1913 r.
Mieszkanie usytuowane jest na 1 p. o powierzchni 136 m , składa się z 5 pokoi o wielkości 36 m, 30 m, 18 m, 15 m  i 12 m,, kuchni 8m plus spiżarnia 5 m , łazienki 4,5 m i dwóch przedpokoi 3m i 4 m. 
Mieszkanie ma pierwotny układ pomieszczeń oraz dwa wejścia, z dwóch klatek schodowych. Taki układ daje wyjątkowe możliwości aranżacyjne oraz możliwość podziału mieszkania na dwa mniejsze.
Mieszkanie idealnie nadaje się na cele mieszkalne ,użytkowe np. atelier fryzjerskie, krawieckie, kancelarię prawną oraz inwestycyjne jak wynajem.
W mieszkaniu są oryginalne elementy architektoniczne takie jak : drzwi, sztukateria na suficie, piec kaflowy, okna.
W kamienicy wymieniono piony wodne, zlikwidowano piecyki gazowe i doposażono lokale w miejską ciepłą wodę, wymieniono instalację c.o , piony elektryczne, instalacje gazową i częściowo kanalizacyjną.
Zewnętrzna elewacja i balkony po odrestaurowaniu.
Dach po remoncie.
Wspólnota jest w czasie rozmów z inwestorem planującym nadbudowę.
Z uzyskanych pieniędzy planowane jest dokończenie elewacji wewnętrznej wraz z balkonami od strony dziedzińca, remont klatek schodowych oraz doposażenie kamienicy w windy zewnętrzne od strony dziedzińca."
mieszkania_sprzedaz,https://adresowo.pl/o/mieszkanie-warszawa-bialoleka-ul-daniszewska-3-pokojowe-w2p4y3,,,10,"ul. Daniszewska, Warszawa Białołęka, mazowieckie","Na sprzedaż: 3-pokojowe mieszkanie z dużym balkonem, położone przy ul. Daniszewskiej, Białołęka.

Perfekcyjna opcja dla osób, które cenią spokój, zieleń i dostęp do wszystkich możliwości, jakie daje miasto.


OPIS NIERUCHOMOŚCI

Mieszkanie znajduje się na 3. piętrze niskiego, nowoczesnego budynku. Powierzchnia lokalu to 50,40 m2, na którą składają się:
- salon z aneksem kuchennym i wyjściem na balkon,
- sypialnia z wnęką na szafę,
- sypialnia / pokój dla dziecka / gabinet,
- łazienka z wanną,
- funkcjonalny przedpokój.

Mieszkanie jest w całości umeblowane. W kuchni znajdują się meble oraz sprzęt AGD, meble pod zabudowę na zamówienie. W pozostałych pomieszczeniach:
- 1. Sypialnia: łóżko, komoda, duża szafa.
- 2. Sypialnia: łóżko 1-osobowe, szafa, biurko/stolik.

Dodatkowym atutem jest duży balkon (8 m2), idealny do wypoczynku.


NAJWAŻNIEJSZE ATUTY

- Trzecie piętro w niskiej zabudowie.
- Gotowe do wprowadzenia (nie wymaga żadnego wkładu finansowego).
- Jasne wnętrza i praktyczny rozkład.
- Spokojne i ciche osiedle.
- Przynależne miejsce parkingowe (dodatkowo płatne 40 000 zł) oraz komórka lokatorska (15 000 zł).


LOKALIZACJA - BIAŁOŁĘKA

Okolica zapewnia ciszę i zieleń, a jednocześnie dobrą infrastrukturę - w pobliżu sklepy, szkoły, przedszkola, przychodnia zdrowia, punkty usługowe oraz sklepy (sklep osiedlowy, Biedronka, Żabka, tylko kilka minut dojazdu do Carrefoura, Factory Annopol, Castoramy, Ikei, Leroy Merlin oraz do Atrium Targówek).

Wygodny dojazd do Metro Bródno (bezpośredni autobus) i centrum miasta dzięki licznym liniom autobusowym oraz dobremu połączeniu z Trasą Toruńską.


To idealna propozycja dla pary lub inwestora - mieszkanie świetnie sprawdzi się również pod wynajem.

Zapraszam do kontaktu w celu umówienia prezentacji i uzyskania dodatkowych informacji."
mieszkania_sprzedaz,https://adresowo.pl/o/mieszkanie-warszawa-targowek-ul-torunska-3-pokojowe-p7n9h8,,,14,"ul. Toruńska, Warszawa Targówek, mazowieckie","Na sprzedaż duże, jasne mieszkanie o powierzchni 54 m² z balkonem, piwnicą oraz miejscem parkingowym przed budynkiem, zlokalizowane w spokojnej i zielonej części Targówka Mieszkaniowego.

INFORMACJE OGÓLNE:
• 3. piętro w 4-piętrowym bloku bez windy.
• Budynek z lat 70., z wielkiej płyty.
• Mieszkanie dwustronne, dobrze doświetlone.
• Bez księgi wieczystej, możliwość zakupu tylko za gotówkę.
• Czynsz: 661 zł (zawiera zaliczki na wodę, ogrzewanie, wywóz śmieci, fundusz remontowy itp.).

ROZKŁAD POMIESZCZEŃ:
• Pokój dzienny: ok. 15 m² - wyjście na balkon.
• Kuchnia (umeblowana): ok. 6 m².
• Łazienka: ok. 5 m².
• Sypialnia z szafą wnękową: ok. 13 m².
• Pokój dziecięcy z szafą wnękową: ok. 10 m².
• Przedpokój z szafą wnękową: ok. 5 m².
• Balkon: widok na zieleń i dużą, otwartą przestrzeń.
• Do mieszkania przynależy również piwnica.

STAN TECHNICZNY:
Mieszkanie do remontu - do odświeżenia są ściany, podłogi i sufity. Sprzęty AGD oraz armatura łazienkowa do wymiany.
Dzięki funkcjonalnemu układowi i braku ścian nośnych w części mieszkania, istnieje możliwość dowolnej aranżacji wnętrz - np. połączenia kuchni z salonem lub stworzenia przestronnej strefy dziennej. Na zdjęciach widoczne są również możliwe aranżacje wnętrz po remoncie.

MOŻLIWOŚĆ ZAKUPU Z WYPOSAŻENIEM:
Istnieje opcja zakupu mieszkania z częściowym wyposażeniem widocznym na zdjęciach (do uzgodnienia). Na życzenie kupującego mieszkanie może być całkowicie opróżnione.

OTOCZENIE I LOKALIZACJA:
• Cicha, zielona okolica z licznymi terenami spacerowymi i placami zabaw.
• Bezpośrednio przy budynku: ogródek jordanowski, miejsca parkingowe (niestrzeżone, z bramą wjazdową).

W pobliżu:
• stacja metra Bródno - ok. 7 min. pieszo,
• liczne przystanki autobusowe i tramwajowe,
• szkoła podstawowa, przedszkole, żłobek - w promieniu 500 m,
• sklepy spożywcze (m.in. Biedronka, Lidl), apteka, piekarnia,
• przychodnia lekarska, biblioteka, klub fitness.

KOMUNIKACJA I DOJAZD:
• Doskonała komunikacja z centrum Warszawy - metro stacja Bródno oraz liczne linie tramwajowe i autobusowe.
• Szybki dojazd samochodem do trasy S8 i Trasy Toruńskiej.
• Dojazd do Lublina: ok. 2 godz.
• Dojazd do Łodzi: ok. 1 godz. 20 min.

---

To mieszkanie to świetna propozycja zarówno dla rodzin z dziećmi, jak i jako inwestycja pod wynajem - dzięki dogodnej lokalizacji i rozwojowi infrastruktury (metro, sklepy, szkoły).

Zapraszam do kontaktu i umówienia się na prezentację."
mieszkania_sprzedaz,https://adresowo.pl/o/mieszkanie-warszawa-mokotow-ul-dywizjonu-ak-jelen-2-pokojowe-z5h5k5,,,15,"ul. Dywizjonu AK ""Jeleń"", Warszawa Mokotów, mazowieckie","Mieszkanie 2 pokojowe na cichym i kameralnym osiedlu ""Wiślany Mokotów"", ogrodzonym i objętym całodobową ochroną. Składa się z: salonu 17,31 m2, sypialni 10,34 m2, kuchni 9,69 m2, przedpokoju 6,24 m2, łazienki 3,97 m2, tarasu 5,27 m2, ogródka 14,48 m2. Atuty osiedla to świetna lokalizacja (blisko do centrum a jednocześnie sąsiedztwo pobrzeża Wisły i Jeziorka Czerniakowskiego - idealnych do uprawiania czynnego wypoczynku), dobry dojazd, liczne sklepy. Na osiedlu dobrze wyposażony i malowniczy plac zabaw dla dzieci. Rozsądne ceny czynszu: aktualnie przy zamieszkałej jednej osobie ok 570 zł m-nie. Dużą atrakcją mieszkania jest ogródek świetnie izolujący mieszkanie od ulicy.
Do mieszkania przynależy miejsce postojowe w podziemnym garażu płatne dodatkowo 45 000 zł."
