offer_url,price,currency,num_images,street_address,description
https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-karola-irzykowskiego-3-pokojowe-g2n7g5,,,19,"ul. Karola Irzykowskiego, Warszawa Bemowo, mazowieckie","Na sprzedaż atrakcyjne mieszkanie o powierzchni 61,60 m2 znajdujące się w nieruchomości przy ul. Irzykowskiego 6. Jeden Właściciel - mieszkanie posiada Księgę Wieczystą.

Lokal składa się z salonu z wyjściem na balkon/loggię, pokoju, głównej sypialni, oddzielnej kuchni, WC i łazienki.

Orientacyjny rzut mieszkania w załączeniu.

Przytulne, ciche, z dużym potencjałem mieszkanie położone jest na drugim piętrze z ekspozycją wschodnio/zachodnią - dlatego nie nagrzewa się w gorące letnie dni.

Mieszkanie znajduje się w 7-piętrowym budynku z windą, zostało wybudowane w latach osiemdziesiątych. Budynek jest czysty i bardzo zadbany przez Spółdzielnię Mieszkaniową Górczewska.

Do mieszkania przynależy piwnica oraz komórka lokatorska przy mieszkaniu.

Mieszkanie znajduje się bezpośrednio przy Parku Górczewska z Amfiteatrem Bemowo oraz kortami tenisowymi i licznymi placami zabaw oraz tężnią solankową. Otoczone dużą ilością zieleni.

Doskonała komunikacja - autobusy(2 min), tramwaje(7 min) oraz metro w zasięgu 15 min piechotą.

W pobliżu liczne sklepy, lokale usługowe oraz szkoły. Liczne miejsca postojowe ogólnodostępne dookoła bloku.

Mieszkanie będzie dostępne dla nowego Właściciela najwcześniej od listopada 2025 roku.

Oferta bezpośrednia od Właściciela.

Pośrednikom sprzedaży nieruchomości dziękujemy.
"
https://adresowo.pl/o/mieszkanie-warszawa-praga-poludnie-aleja-stanow-zjednoczonych-2-pokojowe-q4x7y9,,,10,"Aleja Stanów Zjednoczonych, Warszawa Praga-Południe, mazowieckie","Sprzedam przytulne mieszkanie na Pradze Południe w doskonałej lokalizacji przy zbiegu ulicy Ostrobramskiej i Al. Stanów Zjednoczonych. Mieszkanie jest w dobrym stanie, we wrześniu 2024 zostało odmalowane i nadaje się do wprowadzenia/wynajmu ewentualnie do remontu i własnej aranżacji. W obu pokojach niezawodna klimatyzacja Mitsubishi. Ekspozycja : południe (oba pokoje) i wschód (kuchnia).

Okolica jest doskonale skomunikowana z centrum miasta. Tuż pod blokiem znajduje się przystanek autobusowy, z którego odjeżdżają autobusy do Metra Politechnika (10 minut) oraz bezpośrednio do Centrum (15 minut), a także na Dworzec Centralny, Dworzec Zachodni, a z przystanku przy Al. Stanów Zjednoczonych - na Lotnisko Chopina. Obok bloku ogólnodostępne parkingi.

W bezpośredniej okolicy liczne tereny zielone (Park Skaryszewski, Park Balaton, Rodzinne Ogrody Działkowe), supermarket Lidl, Decathlon, Maxizoo, Zdrofit, przychodnie lekarskie, centra handlowe (CH Gocław, CH Promenada, Galeria Rondo Wiatraczna) oraz prężnie działające domy kultury (Prom Kultury Saska Kępa, Terminal Kultury Gocław).

W 2024 roku odbył się remont klatki schodowej, obecnie trwa remont elewacji. Spółdzielnia Mieszkaniowa Grenadierów. Czynsz 740 zł. Mieszkanie posiada księgę wieczystą, brak hipoteki i innych obciążeń. 

Jestem zainteresowana jedynie sprzedażą bezpośrednią. Pośrednikom i agencjom sprzedaży nieruchomości dziękuję i proszę o niekontaktowanie się ze mną."
https://adresowo.pl/o/mieszkanie-warszawa-zeran-ul-marywilska-3-pokojowe-o7e8l9,,,1,"ul. Marywilska, Warszawa Żerań, mazowieckie","OPIS APARTAMENTU:
Apartament o bardzo wysokim standardzie wykończenia, powierzchnia ponad 65 m2, składa się z 3 pokoi, wydzielonej kuchni, przestronnej garderoby i dużej łazienki. DO apartamentu przynależą 3 loggie (usytuowane od wschodu, zachodu i północy), komórka lokatorska na poziomie parteru oraz miejsce parkingowe w garażu podziemnym. 
Apartament w całości został zaprojektowany przez projektanta wnętrz, wykończony w bardzo wysokim standardzie, najwyższej klasy premium materiałami.

LOKALIZACJA:
Zlokalizowany na Białołęce przy ul. Marywilskiej, na terenie monitorowanego osiedla Nova Sfera z 2023 roku. Osiedle położone jest w prężnie rozwijającej się okolicy z dostępem sklepów (3 min samochodem) punktów usługowych i placówek edukacyjnych dla dzieci oraz bliskim sąsiedztwie centrum handlowego. 
Osiedle jest bardzo dobrze skomunikowane z centrum miasta. przy osiedlu znajduje się przystanek autobusowy, w bez[pośrednim sąsiedztwie przystanek SKM Warszawa Toruńska, a w odległości 600 m od osiedla przystanek tramwajowy, ok 1,5 km stacja metro Bródno. 

Forma własności: pełna własność z księgą wieczystą, możliwy zakup na kredyt
czynsz: 620 zł (dodatkowo płatny prąd)

APARTAMENT:
- dokładny metraż: 65,06 m2
- 3 pokoje z garderobą oraz wydzielonym aneksem kuchennym
- stan mieszkania: idealny, mieszkanie wykończone w standardzie premium, w całości zaprojektowane przez architekta, funkcjonalne, umeblowane, gotowe do wprowadzenia bez dodatkowych nakładów.

W CENIE:
- wyposażenie: sprzedawane z wyposażeniem stanowiącym stałą zabudowę oraz meblami wykonanymi na wymiar
- sprzęt AGD: płyta indukcyjna, piekarnik, okap, lodówka, zamrażarka, zmywarka, mikrofalówka, pralka
- ekspozycja okien na północny zachód (salon, sypialnia), zachód ( kuchnia) i wschód (sypialnia)
- z praktycznie każdego pomieszczenia i dwóch balkonów piękny widok na drzewa
- podłogi: deska dębowa, gres
- okna plastikowe
- drzwi antywłamaniowe z dodatkowym zamkiem
- wysokość mieszkania 273 cm
- piętro 2/3 z windą

APARTAMENT SKŁADA SIĘ Z:
- pokoju z aneksem kuchennym 28,28 m2
- dwóch sypialni 11,61m2, 10,58m2,
- przedpokoju 3,74 m2
- łazienki 6 m2
- garderoby 3,44 m2
+ dodatkowo są trzy zabudowane balkony typu loggia o pow. 7,55 m2, 3,72 m2 i 2,31 m2
Z każdego pokoju mamy wyjście na inny balkon.

MIEJSCE POSTOJOWE:
Miejsce postojowe w garażu podziemnym (płatne dodatkowo 47 000zł. - zakup obligatoryjny)

POMIESZCZENIE GOSPODARCZE:
Do mieszkania przynależy komórka lokatorska o powierzchni ok 3,82 m2 (płatna dodatkowo 32 000 zł. - zakup obligatoryjny)

SKLEPY I PUNKTY USŁUGOWE - na osielu Żabka, w okolicy kilka sklepów spożywczych, liczne punkty usługowe, piekarnie, kawiarnie itp. W odległości 1 km Factory Annopol.
SZKOŁY I PRZEDSZKOLA - w okolicy znajduje się dużo nowych osiedli zamieszkałych w dużej mierze przez młode małżeństwa z dziećmi - dlatego w bliskim otoczeniu osiedla znajduje się dużo żłobków i przedszkoli. Szkoła Podstawowa w odległości ok 1 km, dwie kolejne w 2 km.
TERENY ZIELONE - osiedle położone jest w pobliżu Kanału Żerańskiego stanowiącego świetne miejsce do spacerów i jazdy rowerowej."
https://adresowo.pl/o/mieszkanie-warszawa-goclaw-ul-jana-nowaka-jezioranskiego-3-pokojowe-e9d9b3,,,9,"ul. Jana Nowaka-Jeziorańskiego, Warszawa Gocław, mazowieckie","OPIS NIERUCHOMOŚCI

Na sprzedaż mieszkanie w inwestycji Korona Pragi, wybudowanej w 2017 roku, na Pradze-Południe, a dokładniej na Gocławiu.

W skład mieszkania wchodzą:
2 niezależne sypialnie,
aneks kuchenny z oknem,
łazienka z prysznicem i pralką 60 cm,
salon z 4-osobową kanapą i stołem jadalnianym,
przedpokój z 2 szafami, w tym 5-drzwiową.

Mieszkanie jest idealnie przygotowane pod wynajem lub do zamieszkania.
Istnieje możliwość dobudowy ścianki działowej między aneksem kuchennym a salonem i wygrodzenia trzeciej sypialni.
Dodatkowo do mieszkania przynależy loggia z widokiem na zieleń miejską.
Okna są akustyczne.

Możliwy jest zakup miejsca garażowego w garażu podziemnym pod budynkiem, zlokalizowanego niedaleko klatki schodowej - cena 50 000 zł.

W bliskiej odległości powyższej inwestycji znajduje się:
C.H. Atrium Promenada,
Leroy Merlin,
Auchan,
Castorama,
Lidl,
Biedronka,
Salon BMW,
Kościół,
Prywatna szkoła SSP im. Kardynała Stefana Wyszyńskiego,
żłobki i przedszkola
oraz szkoły państwowe, min. nowa szkoła podstawowa oraz Przedszkole nr 402 przy ul. Jana Nowaka-Jeziorańskiego 22.

Komunikacja oraz szybki dojazd do centrum - ok. 15 min, i na Mokotów - również ok. 15 min, ponieważ budynek znajduje się w bliskiej odległości od Trasy Łazienkowskiej i Trasy Siekierkowskiej."
https://adresowo.pl/o/mieszkanie-warszawa-bialoleka-ul-zeglugi-wislanej-3-pokojowe-y5n9p0,,,15,"ul. Żeglugi Wiślanej, Warszawa Białołęka, mazowieckie","Do sprzedania piękne 3-pokojowe mieszkanie na ulicy Żeglugi Wiślanej w Warszawie.

Mieszkanie składa się z:
salonu z aneksem kuchennym,
dwóch niezależnych sypialni,
łazienki,
osobnego WC
oraz dużego balkonu.

Dodatkowo:
piwnica na poziomie -1
oraz miejsce postojowe w hali garażowej.

Budynek z windą.

Cicha, spokojna okolica z pełną infrastrukturą."
https://adresowo.pl/o/mieszkanie-warszawa-srodmiescie-ul-wilcza-3-pokojowe-t0e9x9,,,16,"ul. Wilcza, Warszawa Śródmieście, mazowieckie","Na sprzedaż bezpośrednio od właściciela:
Wyjątkowe, dwustronne mieszkanie w kamienicy z windą
ul. Wilcza 55/63, Śródmieście Południowe, Warszawa.

Sprzedaję przestronne i ciche mieszkanie o powierzchni 71,77 m², położone na 3. piętrze kamienicy z 1957 roku, z windą.
Budynek znajduje się w jednej z najbardziej pożądanych lokalizacji Śródmieścia Południowego.

Mieszkanie jest dwustronne i funkcjonalnie zaprojektowane:
- dwa pokoje z oknami wychodzącymi na stronę wschodnią,
- salon z kuchnią oraz łazienka (z oknem) - od strony zachodniej,
- dwa balkony: jeden przy salonie, drugi przy pokoju.

Wysokość pomieszczeń wynosi 272 cm, co dodaje wnętrzom przestronności i komfortu.
Dzięki temu, że budynek nie graniczy bezpośrednio z ulicą po stronach, na które wychodzą okna, mieszkanie jest wyjątkowo ciche - idealne zarówno do życia, jak i do pracy zdalnej.

Lokal przeszedł kapitalny remont, obejmujący m.in. wymianę instalacji elektrycznej i wodno-kanalizacyjnej.
Zastosowano wysokiej jakości materiały: dębowy parkiet na całej powierzchni, nowe okna oraz starannie dobrane elementy wykończenia: ceramiczne włączniki światła, kinkiety, oświetlenie sufitowe.

Układ pomieszczeń:
- salon z aneksem kuchennym: ok. 31 m²,
- sypialnia: ok. 17 m²,
- drugi pokój: ok. 20 m²,
- łazienka: niemal 4 m².

W mieszkaniu znajdują się:
- kuchnia wykonana na zamówienie przez stolarza, w pełni wyposażona w sprzęt AGD marki Bosch,
- cztery pojemne szafy na wymiar: w salonie (250 cm), sypialni (140 cm), drugim pokoju (200 cm) oraz łazience (90 cm),
- elegancki stół oraz stolik kawowy z marmurowymi blatami na drewnianych podstawach,
- szafki nocne, szafka RTV i telewizor.

Mieszkanie jest częściowo umeblowane i gotowe do zamieszkania, z zachowaną przestrzenią do indywidualnej aranżacji.

Budynek jest zadbany, z odnowioną klatką schodową oraz windą.

Z balkonu rozciąga się atrakcyjny widok na Pałac Kultury oraz nowoczesny wieżowiec Varso Tower.
Ciche podwórze, kameralna atmosfera i doskonała lokalizacja - blisko komunikacji miejskiej, sklepów, kawiarni i terenów zielonych.

Zapraszam do kontaktu i obejrzenia mieszkania!

Kaja"
https://adresowo.pl/o/mieszkanie-warszawa-bielany-ul-stefana-zeromskiego-2-pokojowe-m0j8j8,,,14,"ul. Stefana Żeromskiego, Warszawa Bielany, mazowieckie","Sprzedam dwupokojowe mieszkanie w bloku SłodowiecCity.

Nie mam aktualnych zdjęć mieszkania, zdjęcia są z różnych okresów i na niektórych zdjęciach nie widać aktualnego stanu mieszkania. Układ pomieszczeń oraz zabudowy od stolarza nie zmieniły się na przestrzeni lat.

Mieszkanie jest od strony południowej (przeciwnej niż od ulicy Żeromskiego). Dlatego jest ciche oraz jasne. Dzięki wysokim sufitom ~275cm oraz dużym oknom. Z sypialni można się cieszyć pięknymi zachodami słońca przez narożne okno. Natomiast z kanapy w dużym pokoju jest widok na centrum Warszawy i nawet widać czubek PKiN.

W mieszkaniu jest zabudowa zrobiona na zamówienie u stolarza ze względu właśnie na wysokie sufity: kuchnia, szafa w przedpokoju oraz szafa w sypialni.

Jest bardzo dobrze skomunikowane ponieważ w bezpośredniej okolicy bloku są przystanki autobusowe, tramwajowe oraz przede wszystkim metro.

Samochodem też jest bardzo dobry dojazd bo zaraz przy zjeździe na trasę S8.

Blisko znajdują się szkoły, sklepy i obiekty sportowe. Automat paczkowy Allegro przy wejściu do klatki oraz paczkomat w jednym z lokali usługowych w klatce. Poczta w lokalach od frontu budynku oraz dwie restauracje.

Wejście do klatki na: kartę, breloczek lub kod dostępu.

Dojście z ulicy do mieszkania jest zupełnie na płasko, osoby z niepełnosprawnościami lub poruszające się przy pomocy wózka inwalidzkiego nie powinny z tym mieć problemu. Do mieszkania możemy się dostać dwiema windami (jedna mniejsza, druga większa), w razie awarii jednej z nich druga jest czynna.

W mieszkaniu jest zainstalowana klimatyzacja multi-split: dla sypialni oraz dla dużego pokoju. Na oknach są zamontowane moskitiery, które są bardzo skuteczne i w mieszkaniu nie latają żadne meszki owocówki, ani komary i ćmy.

Dodatkowo płatne miejsce parkingowe w garażu podziemnym na poziomie -3 z gniazdem trójfazowym, które zostało założone do ładowania pojazdów elektrycznych.

Do mieszkania nie ma komórki lokatorskiej, ale mogę udostępnić kontakt do osoby, która taką ma na wynajem.

Dodatkowe miejsca na hali garażowej też można wynająć w rozsądnych pieniądzach.

Oferta prywatna. Jeżeli nie odbiorę, proszę o SMS w jakich godzinach najlepiej oddzwonić.

Biura nieruchomości zapraszam TYLKO z potencjalnym klientem."
https://adresowo.pl/o/mieszkanie-warszawa-praga-poludnie-ul-1-praskiego-pulku-3-pokojowe-l8x6u8,,,10,"ul. 1 Praskiego Pułku, Warszawa Praga-Południe, mazowieckie","Sprzedam mieszkanie z oryginalnym rozkładem: 2 pokoje + duża praktyczna wnęka na gabinet, garderobę lub pokój dziecka.

Mieszkanie ma cudowny klimat i rozkład na dwie strony (wschód-zachód). Ciepło w zimie i przyjemnie latem.

Remont generalny zakończyliśmy w lutym 2023. Wymieniliśmy okna, parapety, całą elektrykę. Odświeżyliśmy dębową podłogę, zachowując jej pierwotny klimat. Całe wyposażenie mieszkania jest nowe.

W przedpokoju są dwie zabudowane wnęki (Komandor), w których jest dużo miejsca do przechowywania.
Oddzielna kuchnia. W kuchni pełne, nowoczesne wyposażenie (Ikea), w łazience też (nie Ikea).

Jest piwnica.
Jest balkon.
Nie ma garażu.
Ale jest widok na drzewa i przestrzeń, mieszkanie jest bardzo jasne.

Są bardzo fajni sprzedający.

W najbliższym sąsiedztwie są:
- szkoły, przedszkola
- sklepy, restauracje, centra handlowe
- szpital i apteki
- ścieżki rowerowe
- 15 min do centrum autobusem
- 3. linia metra w zasięgu

Mieszkanie będzie dostępne do oglądania od 1 lipca 2025.

Zapraszamy."
https://adresowo.pl/o/mieszkanie-warszawa-mokotow-al-niepodleglosci-2-pokojowe-n4k8s5,,,11,"al. Niepodległości, Warszawa Mokotów, mazowieckie","Dwupokojowe mieszkanie na Starym Mokotowie

Mieszkanie składa się z dwóch nieprzechodnich pokoi, oddzielnej i widnej kuchni, łazienki i przedpokoju. Okna mieszkania wychodzą na południe, na podwórko, dzięki czemu mieszkanie jest idealnie ciche i bardzo słoneczne.

Mieszkanie jest w stanie dobrym. Oba pokoje są bardzo ustawne, w kształcie kwadratu. Okna wychodzące na południe gwarantują świetne doświetlenie przez większość dnia. Mniejszy pokój zawiera szafę wnękową z lustrem. Łazienka wyłożona jest glazurą i terakotą. Mieści się w niej WC, wanna oraz wnęka z podłączeniami do pralki. W przedpokoju znajdziemy kilka schowków i 2 bardzo pakowane pawlacze.

Budynek powstał w latach pięćdziesiątych w tradycyjnej technologii. Na przestrzeni ostatnich lat wymieniono piony wodno-kanalizacyjne i C.O. W budynku jest winda. Na podwórku znajdują się stojaki na rowery i parking dla samochodów.

Budynek znajduje się kilka kroków od stacji metra Racławicka. Po sąsiedzku liczne sklepy: Mokpol, Rossmann, dobrze zaopatrzony warzywniak, apteki. W odległości spaceru znajdują się park Dreszera i Pola Mokotowskie. W pobliżu również uczelnie wyższe: Politechnika Warszawska, SGH, szkoły podstawowe i licea.

Agencjom pośrednictwa nieruchomościami dziękuję.

Zapraszam do kontaktu."
https://adresowo.pl/o/mieszkanie-warszawa-wlochy-ul-trzcinowa-2-pokojowe-x8f6s8,,,7,"ul. Trzcinowa, Warszawa Włochy, mazowieckie",
