,id,url,date_posted,photos,locality,street,property_type,rooms,area_m2,owner_direct,price_total_zl,price_per_m2_zl,description,type
0,3554288,https://adresowo.pl/o/mieszkanie-warszawa-ursus-ul-nurzynska-1-pokoj-k5t0j6,ponad miesiąc temu,9.0,Warszawa Ursus,ul. Nurzyńska,Mieszkanie,1,35,True,492 000,13 977zł / m²,"Przytulna kawalerka w sercu Ursusa, gotowa do zamieszkania! Na sprzedaż mieszkanie o powierzchni 35,2 m², położone w zielonej i spokojnej części Warszawy , dzielnicy Ursus . To idealna propozycja zarówno dla singla, pary oraz jako inwestycja na wynajem. O MIESZKANIU - Przestronna kawalerka z dużym pokojem, dużą widną kuchnią i łazienką. - Po generalnym remoncie (ok. 10 lat temu). - W pełni umeblowane i wyposażone, można wprowadzić się od razu, bez dodatkowych kosztów. - Trzy pojemne szafy wnękowe i funkcjonalna kuchnia z pełnym AGD: lodówko-zamrażarka, piekarnik, kuchenka, okap. - Widne, jednostronne mieszkanie, z okien rozpościera się widok na zieleń. - Do mieszkania przynależy duża piwnica, idealna na dwa rowery, a pomieści dużo więcej. - Układ lokalu sprawia, że mieszkanie jest bardzo funkcjonalne i przestronne. LOKALIZACJA, KTÓRA UŁATWIA ŻYCIE To największy atut mieszkania z uwagi na ilość terenów zielonych, dogodny dojazd do centrum miasta oraz poza miasto z racji bliskości trasy S8, S2 i A2. W razie potrzeby skorzystania z komunikacji miejskiej: - Zaledwie 200 metrów do przystanku autobusowego. - 700 metrów do stacji PKP - szybki dojazd do centrum to kwestia kilkunastu minut. - W okolicy wszystko, czego potrzeba: szkoły, przedszkola, sklepy, piekarnia, urokliwy park Achera i park Czechowicki, infrastruktura oraz wiele innych atrakcyjnych rekreacyjnie i usługowo miejsc. DODATKOWE INFORMACJE - Czynsz: 440 zł. - Sprzedaż bezpośrednio od właściciela - bez prowizji! Mieszkanie czeka na nowego właściciela, gotowe do wprowadzenia od zaraz. To wyjątkowe miejsce dla każdego, kto oczekuje komfortowego miejsca do życia, gdzie przestrzeń z naturą idą w parze z szybką i wygodną komunikacją nie tylko do centrum miasta, ale także lotniska, parków, sklepów, restauracji, kawiarni czy galerii handlowych. Jeśli marzysz o własnym, przytulnym kącie w spokojnej, zielonej okolicy z doskonałą komunikacją z resztą miasta, to miejsce może być właśnie dla Ciebie. Zainteresowany/a? Zadzwoń i umów się na oglądanie.",mieszkania sprzedaż
1,3753324,https://adresowo.pl/o/mieszkanie-warszawa-ochota-ul-grojecka-2-pokojowe-k7f9k6,dzisiajnowe,11.0,Warszawa Ochota,ul. Grójecka,Mieszkanie,2,45,True,800 000,17 778zł / m²,"Podstawowe informacje: Dwupokojowe ustawne mieszkanie z niezależną, widną kuchnią. Usytuowane na siódmym piętrze z panoramicznym widokiem na Warszawę . Grzejniki wymienione na nowe, na podłodze drewniana klepka, plastikowe szczelne okna. W zabudowie dwie szafy i pawlacz w przedpokoju. Budynek z cegły, po remoncie elewacji i instalacji wewnętrznych, nowa winda. Na klatce schodowej zainstalowane są kamery. Otoczenie nieruchomości: Mieszkanie znajduje się na Starej Ochocie , przy skrzyżowaniu ulic Grójeckiej i Bitwy Warszawskiej 1920 r. W okolicy znajduje się dużo terenów zielonych - Park Pięciu Sióstr, Park Szczęśliwicki, Pola Mokotowskie oraz zielone, klimatyczne podwórka. Dużą zaletą nieruchomości jest dostęp do pełnej infrastruktury miasta. W sąsiedztwie znajdują się sklepy spożywcze, piekarnie, Hale Banacha, Zieleniak, Biedronka oraz liczne punkty usługowe i lokale gastronomiczne, basen, młodzieżowy dom kultury, przychodnie, szkoła podstawowa, przedszkola (najbliższe na przeciwko wejścia do bloku), żłobek, Och-Teatr. Komunikacja: Atutem mieszkania jest rewelacyjna lokalizacja umożliwiająca szybki wyjazd do pracy oraz powrót. Przystanki autobusowe i tramwajowe zaraz pod blokiem. Do centrum miasta dojedziemy autem w 10 minut, tramwajem w 15 minut. W odległości 1 km Dworzec Zachodni. W planach tramwaj wzdłuż ul. Bitwy Warszawskiej i metro przy Pl. Narutowicza. W odległości, około 15 minutowego spaceru mamy również Szpital na Banacha i Warszawski Uniwersytet Medyczny oraz wydziały Uniwersytetu Warszawskiego. Bardzo łatwy dojazd do lotniska Okęcie. Najważniejsze informacje: - jasne i funkcjonalne mieszkanie - wystawa okien: wschód - czynsz ok. 670 zł (dla 2 osób) - własna piwnica w cenie - wysokość 275 cm - bardzo dobrze skomunikowana lokalizacja Stan prawny: - odrębna własność - założona księga wieczysta - brak wpisów Pośrednikom i agencjom nieruchomości dziękujemy, proszę nie dzwonić ani nie pisać.",mieszkania sprzedaż
2,3753264,https://adresowo.pl/o/mieszkanie-warszawa-mokotow-ul-stefana-batorego-1-pokoj-v5t8u2,wczorajnowe,17.0,Warszawa Mokotów,ul. Stefana Batorego,Mieszkanie,1,29,True,598 000,20 982zł / m²,"Sprzedam bezpośrednio nowoczesną, przestronną i cichą kawalerkę . Całe wyposażenie i meble w cenie. Idealna na wynajem i inwestycję. Mieszkanie znajduje się na Starym Mokotowie w rewelacyjnej lokalizacji przy ulicy Batorego/Wiśniowa 250m od stacji metra Pole Mokotowskie. Po drugiej stronie ulicy park Pole Mokotowskie, w odległości spaceru Plac Unii i Łazienki Królewskie. W pobliżu uczelnia SGH i Politechnika Warszawska. Doskonała komunikacja z centrum i innymi dzielnicami. Okolica jest spokojna i bardzo zielona, a jednocześnie bardzo dobrze rozwinięta – niedaleko znajdują się liczne sklepy, punkty usługowe, kawiarnie, a także przychodnie, przedszkola i szkoły. Lokal składa się z przestronnego pokoju otwartego na część jadalną z kuchnią 20m², super garderoby z mnóstwem miejsca na rzeczy 4m², łazienki 5m² oraz dużego balkonu 5m². Z okien i balkonu rozpościera się przepiękny widok na panoramę Warszawy . Pełne wyposażenie w cenie - sprzęt AGD (lodówka w zabudowie, pralka, kuchenka z piekarnikiem, sprzęty kuchenne), umeblowanie (narożnik, szafy, liczne półki, biurko, stół i krzesła, TV). W oknach rolety zaciemniające oraz moskitiera na wymiar. Spokojni sąsiedzi, czysta monitorowana klatka schodowa. W budynku znajdują się 3 nowe windy. Forma własności: spółdzielcze własnościowe prawo do lokalu z założoną KW. Brak obciążeń hipotecznych. Agencjom i pośrednikom dziękuję, nie wyrażam zgody na powielane zdjęć i ogłoszenia. W celu dodatkowych informacji proszę o telefon:-) ""Niniejsze ogłoszenie ma jedynie charakter informacyjny i nie stanowi oferty handlowej w rozumieniu art. 66 § 1 Kodeksu cywilnego.""",mieszkania sprzedaż
3,3753260,https://adresowo.pl/o/mieszkanie-warszawa-bielany-ul-josepha-conrada-3-pokojowe-b1z8t8,wczorajnowe,16.0,Warszawa Bielany,ul. Josepha Conrada,Mieszkanie,3,60,True,1 260 000,21 000zł / m²,"Sprzedam mieszkanie 72m (60m+12 logika zabudowana)KW z gruntem + kom lokatorska +garaż podziemny oraz naziemny . Mieszkanie słoneczne , duża łazienka z oknem , klimatyzacja . Osiedle bardzo ładnie zagospodarowane , blisko metro , komunikacja , szkoły , przedszkola , siłownie . Na garaż i kom lokatorska osobna KW  .pelna własność",mieszkania sprzedaż
4,3753210,https://adresowo.pl/o/mieszkanie-warszawa-wola-ul-monte-cassino-2-pokojowe-p9h5e7,wczorajnowe,11.0,Warszawa Wola,ul. Monte Cassino,Mieszkanie,2,37,True,749 000,20 243zł / m²,"NA SPRZEDAŻ BEZPOŚREDNIO!! Pośredników zapraszam wyłącznie z zainteresowanym klientem. DUŻY BALKON. TRZY DUŻE SZAFY! Metraż 37 m2 Warszawa Wola Salon z aneksem kuchennym plus sypialnia Rok budowy: 1962 Pełna własność Zapraszam do zakupu mieszkania w bloku z cegły, z dużym balkonem, z widokiem na zieleń i w świetnej lokalizacji! Zaledwie 500 m od metra Księcia Janusza !! Mieszkanie świeżo po generalnym remoncie W mieszkaniu wymieniono wszystkie instalacje, wstawiono nową kuchnię i meble. Mieszkanie zostało przygotowane pod klucz - można się od razu wprowadzać. W ramach AGD znalazły się: piekarnik, lodówka, zmywarka, płyta indukcyjna, okap. W mieszkaniu zamontowano aż trzy duże szafy oraz łóżko z pojemnikiem na pościel, a także rozkładaną kanapę w salonie. Dzięki świetnemu rozkładowi mieszkanie wydaje się dużo większe, niż wskazuje metraż. W łazience jest duży i wygodny prysznic oraz miejsce na pralkę. Na podłodze pozostawiono parkiet dębowy, który został wycyklinowany. Nikt nie zagląda w okna - za oknami sama zieleń. Dookoła cisza i spokój. Wysokość pomieszczeń 260 cm. Ściany z cegły. W okolicach bloku dużo miejsc do parkowania. Pełna własność. Księga wieczysta bez obciążeń. Do mieszkania przynależy piwnica. Świetna lokalizacja: 1) metro 500 m 2) park Edwarda Szymańskiego 200 m 3) park wodny Moczydło 200 m 4) przychodnia 200 m 5) Carrefour, stragany, lodziarnia, knajpki 150 m 6) basen 100 m 7) skatepark i siłownia plenerowa 200 m Zapraszam na prezentację! __________________ FOR SALE WITHOUT BROKERS!! Brokers are welcome only with interested clients. Area: 37 m² Warsaw Wola District Living room with kitchenette and bedroom Year of construction: 1962 Full ownership I invite you to purchase an apartment in a brick building with a large balcony, overlooking greenery, and in a great location! Just 500 meters from the Księcia Janusza metro station!! The apartment has recently undergone a complete renovation. All utilities have been replaced, a new kitchen and furniture have been installed. The apartment is turnkey - ready for immediate move-in. Appliances include: an oven, refrigerator, dishwasher, induction cooktop, and extractor hood. The apartment features three large wardrobes, a bed with storage, and a fold-out sofa in the living room. Thanks to the excellent layout, the apartment feels much larger than its size suggests. The bathroom features a large, comfortable shower and space for a washing machine. The oak parquet flooring has been sanded and left intact. No one peeks in the windows – just greenery. Surrounded by peace and quiet. The ceiling height is 260 cm. Brick walls. There is ample parking space around the building. Full ownership. Land and mortgage register without encumbrances. The apartment includes a basement. Great location: 1) Metro 500 m 2) Edward Szymański Park 200 m 3) Moczydło Water Park 200 m 4) Clinic 200 m 5) Carrefour, stalls, ice cream parlor, and pubs 150 m 6) Swimming pool 100 m 7) Skatepark and outdoor gym 200 m I invite you to a viewing!",mieszkania sprzedaż
5,3753156,https://adresowo.pl/o/mieszkanie-warszawa-praga-poludnie-ul-ostrobramska-2-pokojowe-m7u2n7,wczorajnowe,7.0,Warszawa Praga-Południe,ul. Ostrobramska,Mieszkanie,2,47,True,700 000,15 021zł / m²,"Mieszkanie 2 pokojowe z oddzielną kuchnią . pow. 46,6 m2 . Widne, strona południowo-zachodnia . Dobra lokalizacja . Sklep spożywczy 50 m od bloku.  Wokół centa chandlowe Auchan , Leroy Merlin , Promenada , Media Markt . Dobra komunikacja do Centrum . W planach budowa lini metra .  Mieszkanie do niewielkiego remontu (wymiana podłogi w dużym pokoju) . Możliwość zamiany na nieduży  dom z małą działką w okolicach Dębówka , Bieniewice , Boża Wola .",mieszkania sprzedaż
6,3752956,https://adresowo.pl/o/mieszkanie-warszawa-praga-poludnie-lukowska-3-pokojowe-a5y4p5,wczoraj,1.0,Warszawa Praga-Południe,Lukowska,Mieszkanie,3,61,True,680 000,11 148zł / m²,"3pok.18m 11,6m 8m kuchnia8,9m przedpokój lazienka wc 15.5m loggia 5,1m Nowa winda OTIS Blok po remoncie  Osiedle Ostrobramska -2szkoly 2przedszk. Bazar Auchan 2Biedronki Promenada Obok Pizza Chińczyk Burger Kebab Sushi Dobra komunikacja",mieszkania sprzedaż
7,3752760,https://adresowo.pl/o/mieszkanie-warszawa-powisle-ul-okrag-2-pokojowe-y1m4c2,2 dni temu,10.0,Warszawa Powiśle,ul. Okrąg,Mieszkanie,2,43,True,1 075 000,25 000zł / m²,"Sprzedam bezpośrednio klimatyczne mieszkanie w zadbanej kamienicy na warszawskim Powiślu przy ul. Okrąg. - Bezpośrednio przy parku J. Porazińskiej. - W okolicy także m.in. Park Rydza Śmigłego i Wisła. - 1000 m do Placu Trzech Krzyży, 1200 m do metra CNK. - Przy mieszkaniu przystanki autobusowe. Mieszkanie na 3. piętrze (bez windy), 43-metrowe, składające się z dwóch pokojów (kuchnia w aneksie) oraz przedpokoju i łazienki. Do mieszkania przynależy duża piwnica. Mieszkanie po remoncie pod koniec 2021 r., do ew. odświeżenia. Bardzo widne (duże okna), słoneczne, ciepłe, widok na zadbaną elewację kamienicy i park. Piękne patio wewnętrzne z zadbaną, bujną roślinnością i możliwością pozostawienia rowerów. Prężna wspólnota, wyremontowane klatki, instalacje, dach i piwnice. W pobliżu sklepy ze zdrową żywnością, sklepy całodobowe, drogerie, kawiarnie i restauracje. Uregulowany stan prawny nieruchomości i gruntów (można posiłkować się kredytem). Mieszkanie z dobrą energią dla wielbicieli Powiśla ze wszystkimi jego zaletami! Zapraszam do kontaktu i oglądania. Martyna Agentów nieruchomości proszę o kontakt jedynie z klientami zainteresowanymi obejrzeniem.",mieszkania sprzedaż
8,3752312,https://adresowo.pl/o/mieszkanie-warszawa-bialoleka-ostrodzka-3-pokojowe-f1t5m1,2 dni temu,18.0,Warszawa Białołęka,Ostródzka,Mieszkanie,3,55,True,720 000,13 151zł / m²,"🏡 Sprzedam mieszkanie – Białołęka , Brzeziny, ul. Ostródzka 123 📐 Powierzchnia: 54,75 m² 💰 Cena mieszkania: 720 000 PLN 🚗 Miejsce garażowe: 40 000 PLN (poziom -1) ✨ Najważniejsze atuty: - 🏢 Piętro 1 w 3-piętrowym bloku - 🛗 Winda - 📏 Wysokość pomieszczeń: 2,75 m - 🌅 Ekspozycja zachodnia, duże okna – mieszkanie pełne światła - 🆕 Stan deweloperski, odebrane w lipcu 2025 r. - 📑 Pełna własność – możliwość zakupu na kredyt - 🏞️ Blok odsunięty od głównej ulicy, plac zabaw przed budynkiem 📍 Lokalizacja i okolica: - 👶 Żłobek, przedszkole, szkoła, liceum - 🛍️ Biedronka, Lidl, CH Atrium Targówek - 🏊‍♂️ Pływalnia, fryzjer, piekarnia, kosmetyczka - 🩺 Przychodnia lekarska, stomatolog, weterynarz - 🌳 Tereny zielone: Kanał Królewski, ścieżki rowerowe do Nieporętu, Jezioro Zegrzyńskie 🚌 Komunikacja: - Przystanek autobusowy 2 min od bloku (4 linie dzienne + 2 nocne) 📸 Rozkład mieszkania i wymiary – na załączonym zdjęciu. 📞 Sprzedaż bezpośrednio od właściciela 👉 Agencje nieruchomości zapraszam wyłącznie z konkretnym Klientem. Wersja krótka (przyciągająca uwagę) ✨ Nowe mieszkanie na Białołęce! ✨ 🏡 54,75 m² | 🏢 1. piętro | 🌅 zachodnia ekspozycja 💰 712 000 PLN + garaż 40 000 PLN ✔️ Stan deweloperski (odbiór: lipiec 2025) ✔️ Winda, duże okna, wysokość 2,75 m ✔️ Blisko sklepy, szkoły, tereny zielone i komunikacja (25 min do centrum) 📍 Ostródzka 123 – wygodna lokalizacja, cisza i spokój 📞 Sprzedaż bezpośrednio od właściciela!",mieszkania sprzedaż
9,3617916,https://adresowo.pl/o/mieszkanie-warszawa-wlochy-ul-trzcinowa-2-pokojowe-x8f6s8,,7.0,Warszawa Włochy,ul. Trzcinowa,Mieszkanie,2,49,True,zapytaj o cenę,,"Nowe mieszkanie 2-pokojowe o powierzchni 49,15 m² w inwestycji Trzcinowa Vita dewelopera DEVELIA, na parterze w budynku 18 pod adresem ul. Trzcinowa 18, Warszawa Włochy. Planowany termin oddania to II kwartał 2027 roku. Trzcinowa Vita Trzcinowa Vita to nowoczesna inwestycja mieszkaniowa zlokalizowana w spokojnej, zielonej części dzielnicy Włochy. Projekt inspirowany ideą miasta-ogrodu Ebenezera Howarda harmonijnie łączy komfort życia wśród przyrody z wygodnym dostępem do infrastruktury miejskiej oraz doskonałą komunikacją z centrum Warszawy. W ramach I etapu powstaną dwa budynki, w których zaprojektowano 117 funkcjonalnych mieszkań o powierzchni od 26 do 113 m². Przeważają ustawne, 3-pokojowe lokale, ide... więcej > Trzcinowa Vita Trzcinowa Vita to nowoczesna inwestycja mieszkaniowa zlokalizowana w spokojnej, zielonej części dzielnicy Włochy. Projekt inspirowany ideą miasta-ogrodu Ebenezera Howarda harmonijnie łączy komfort życia wśród przyrody z wygodnym dostępem do infrastruktury miejskiej oraz doskonałą komunikacją z centrum Warszawy. W ramach I etapu powstaną dwa budynki, w których zaprojektowano 117 funkcjonalnych mieszkań o powierzchni od 26 do 113 m². Przeważają ustawne, 3-pokojowe lokale, idealne dla rodzin, par i singli. Do każdego mieszkania przynależy balkon lub prywatny ogródek – w zależności od kondygnacji. Na terenie osiedla znajdą się: parking podziemny, naziemne miejsca postojowe, komórki lokatorskie oraz boksy do przechowywania. Przewidziano także stojaki rowerowe, które odpowiadają na potrzeby aktywnych mieszkańców. Lokalizacja sprzyjająca codziennemu komfortowi Inwestycja znajduje się w bezpośrednim sąsiedztwie terenów zielonych, takich jak Park Ogrody Kosmosu, Park Koziorożca czy Park Kombatantów. W niewielkiej odległości znajduje się także malowniczy staw Glinianki Sznajdra – idealny dla miłośników spacerów i wędkowania. W promieniu kilkuset metrów dostępne są liczne punkty usługowe, sklepy (m.in. Biedronka, Lidl), a także placówki edukacyjne – żłobek, przedszkole oraz szkoła muzyczna. Zaledwie 1 km od osiedla znajduje się stacja PKP Warszawa Włochy, z której pociągiem można dojechać do centrum w 15–20 minut. Bliskość przystanków autobusowych zapewnia dodatkową wygodę komunikacyjną. Atuty: - Spokojna okolica w otoczeniu zabudowy - Sąsiedztwo terenów rekreacyjnych - Bliskość placówek edukacyjnych, sklepów i punktów usługowych - Szeroki wybór mieszkań z balkonami lub ogródkami Niniejszy materiał ma charakter informacyjny i nie stanowi oferty w rozumieniu Kodeksu cywilnego. Oficjalna strona internetowa inwestycji: https://develia.pl/pl/mieszkania/warszawa/trzcinowa-vita/",mieszkania sprzedaż
