,id,url,date_posted,photos,locality,street,property_type,rooms,area_m2,owner_direct,price_total_zl,price_per_m2_zl,description,type
0,3748742,https://adresowo.pl/o/mieszkanie-wroclaw-stare-miasto-ul-pomorska-3-pokojowe-x6i5l4,3 dni temu,17.0,Wrocław Stare Miasto,ul. Pomorska,Mieszkanie,3,69,True,800 000,11 516zł / m²,"// ENGLISH BELOW // Na sprzedaż ciekawe i klimatyczne mieszkanie na Nadodrzu [CENA] 800.000 PLN (11 5155,76/m²) - sprzedaż bezpośrednia, bez prowizji pośrednika. Dobra inwestycja, łatwy wynajem. Mieszkanie od 10 lat wynajmowane bez przestoju. [LOKAL] ul. Pomorska, blisko pl. Staszica 69,47 m² (w praktyce powierzchnia jest większa ze względu na skosy) 2 sypialnie + otwarta kuchnia/salon i łazienka piętro: 5 piętro, bez windy łazienka: wanna i prysznic ogrzewanie elektryczne (panele sufitowe, a nie grzejniki) okna plastikowe klimatyzacja ściany: piękna, oryginalna cegła okna dachowe - mieszkanie jest bardzo słoneczne odmalowane w sierpniu 2025 możliwość wynajęcia pomieszczenia gosp. w piwnicy [BUDYNEK/ LOKALIZACJA] rok budowy: 1900 5 pięter, bez windy stylowa, odnowiona i zadbana kamienica z pięknymi dekorami spokojny i relaksujący dziedziniec z nasadzeniami, stojakiem na rowery i miejscami do siedzenia Park Staszica - 2 minuty piechotą dobra lokalizacja, blisko wielu restauracji i sklepów - Żabka, piekarnia, supermarket T&J, apteka, sklepy spożywcze i lokale usługowe w zasięgu 2 minut piechotą świetnie skomunikowane z centrum, przystanki autobusowe i tramwajowe - 2 minuty piechotą 15 minut spacerem do Rynku Zapraszam na prezentację! Łukasz tel./ whatsapp: [numer] - - - - - - - - - - - - - - - - - For sale an interesting and unique apartment in Nadodrze. [PRICE] 800.000 PLN (11 5155,76/m²) - direct sale, no agent commission. A good investment, easy to rent. The apartment has been rented continuously for 10 years. [APARTMENT] Pomorska Street, near Plac Staszica 69.47 m² (in practice, the area is larger due to the sloped ceilings) 2 bedrooms + open-plan kitchen/living room and bathroom floor: 5th floor, no elevator bathroom: bathtub and shower heating: electric (ceiling panels, not radiators) PVC windows air conditioning walls: beautiful, original brick roof windows - The apartment is very sunny refreshed in August 2025 storage in the basement available to rent [BUILDING/LOCATION] year of construction: 1900 5 floors, no elevator stylish, renovated, and well-maintained building with beautiful décor peaceful and relaxing courtyard with plantings, a bike rack, and seating areas good location, close to many restaurants and shops - Żabka, bakery, T&J supermarket, pharmacy, grocery stores and other services within a 2-minute walk Staszica Park - 2-minute walk excellent transport links to the city center, bus and tram stops - 2 minutes' walk 15 minutes' walk to the Market Square Contact me for further information or viewing the apartment! Lukasz tel./ whatsapp: [numer]",mieszkania sprzedaż
1,3752180,https://adresowo.pl/o/mieszkanie-wroclaw-stare-miasto-ul-gen-jozefa-bema-3-pokojowe-e1c6p4,dzisiajnowe,8.0,Wrocław Stare Miasto,ul. gen. Józefa Bema,Mieszkanie,3,58,True,835 000,14 397zł / m²,"NA SPRZEDAŻ: MIESZKANIE Z WIDOKIEM NA KATEDRĘ - CENTRUM MIASTA, UL. BEMA Mam do zaoferowania przestronne i jasne mieszkanie w budynku z lat 90., położone w samym sercu miasta - przy ul. Bema. PARAMETRY MIESZKANIA: - powierzchnia: 58 m² - piętro: 7/7 (z nową windą - wymienioną w 2024 r.) - układ: salon z aneksem kuchennym, 2 sypialnie, łazienka, osobna toaleta - dodatkowo: 2 balkony (otwarty i zabudowany), piwnica oraz prywatna mała suszarnia ATUTY: - piękny widok na Katedrę i Ostrów Tumski - okna od strony podwórza (wschód), dzięki czemu mieszkanie jest ciche i pełne światła porannego - mieszkanie gotowe do wprowadzenia, wymaga jedynie odświeżenia - funkcjonalny układ - idealny dla rodziny, pary lub pod wynajem LOKALIZACJA: - centrum miasta, świetnie skomunikowane - Ostrów Tumski - 3 min pieszo - Hala Targowa - 5 min pieszo - Rynek - 10 min pieszo Za rogiem kultowa stara piekarnia i liczne sklepy oraz punkty usługowe. INFORMACJE DODATKOWE: - planowany remont elewacji w 2026 r. Mieszkanie z wyjątkowym widokiem na Katedrę i świetną lokalizacją tuż przy Ostrowie Tumskim. Polecam!",mieszkania sprzedaż
2,3751898,https://adresowo.pl/o/mieszkanie-wroclaw-krzyki-ul-tadeusza-zielinskiego-1-pokoj-s0v4g7,dzisiajnowe,15.0,Wrocław Krzyki,ul. Tadeusza Zielińskiego,Mieszkanie,1,25,True,400 000,16 000zł / m²,"Na sprzedaż jasna, zadbana kawalerka o powierzchni 25 m², położona w świetnej lokalizacji przy ul. Zielińskiego we Wrocławiu . Mieszkanie znajduje się w budynku z windą, w spokojnym otoczeniu z pełną infrastrukturą i bardzo dobrym dostępem do komunikacji miejskiej. Najważniejsze atuty: - Przemyślany układ: salon z aneksem kuchennym, łazienka z prysznicem. - Nowa instalacja elektryczna. - Okna PCV oraz nowe rolety. - Parking pod blokiem z wjazdem na szlaban. - Komórka lokatorska w cenie. - Wyposażenie: pralka, prysznic, szafki, zabudowa kuchenna, telewizor. - Księga wieczysta. Blisko centrum, w sąsiedztwie sklepów, restauracji oraz przystanków tramwajowych i autobusowych. Idealne dla singla, pary lub jako inwestycja pod wynajem. Sprzedaż bez pośredników - proszę, aby biura nieruchomości nie kontaktowały się. Kontakt bezpośrednio do właściciela: Piotr",mieszkania sprzedaż
3,3751826,https://adresowo.pl/o/mieszkanie-wroclaw-jagodno-ul-edmunda-kajdasza-2-pokojowe-t5c4b5,dzisiajnowe,1.0,Wrocław Jagodno,ul. Edmunda Kajdasza,Mieszkanie,2,43,True,622 000,14 465zł / m²,"Mieszkanie 43 m2, Jagodno , Kajdasza. 622 000 zł plus 50 000 miejsce. Cena do lekkiej negocjacji. Reszta info pod telefonem.",mieszkania sprzedaż
4,3751526,https://adresowo.pl/o/mieszkanie-wroclaw-gajowice-ul-wrobla-2-pokojowe-m8i1k4,dzisiajnowe,7.0,Wrocław Gajowice,ul. Wróbla,Mieszkanie,2,51,True,619 000,12 178zł / m²,"Szanowni Państwo, na sprzedaż mieszkanie: - ulica Wróbla, Wrocław , - 50,83 m2 powierzchni użytkowej, - ekspozycja dwustronna – zachód i wschód (za oknami zieleń), - rozkładowe - 2 pokoje , kuchnia, łazienka, przedpokój, - m.in. zmywarka i pralka, - w cenie komórka w piwnicy ok. 7 m2, - miejsca parkingowe przed budynkiem i na ulicy. W budynku wymienione piony wodno-kanalizacyjne, dodatkowo wyremontowany dach i klatka schodowa. Przed budynkiem spokojna ulica, za budynkiem dziedziniec, dodatkowo w pobliżu park im. Mariana Langiewicza z atrakcjami dla najmłodszych. Komunikacja miejska - w pobliżu przystanki tramwajowe i autobusowe. W pobliżu przedszkola, szkoły, przychodnia, usługi, Centrum Handlowe Borek . Zapraszam do kontaktu Biura nieruchomości zapraszam z klientem :) Niniejsza prezentacja nie stanowi oferty w rozumieniu Kodeksu cywilnego.",mieszkania sprzedaż
5,3751478,https://adresowo.pl/o/mieszkanie-wroclaw-fabryczna-al-architektow-2-pokojowe-u6p2g4,dzisiajnowe,7.0,Wrocław Fabryczna,al. Architektów,Mieszkanie,2,44,True,748 000,17 066zł / m²,"Sprzedam mieszkanie: - aleja Architektów, Wrocław , - 43,83 m2 powierzchni użytkowej, - salon z aneksem kuchennym z wyjściem na balkon + pokój + łazienka + przedpokój, - 3 piętro, winda, - ekspozycja wschodnia, - prywatne miejsce postojowe w garażu podziemnym, - osiedle Nowe Żerniki . Mieszkanie wykończone w wysokim standardzie, wokół nowe budownictwo, usługi, zielone aleje (przy budynkach i na dziedzińcach). Wokół piekarnie, kawiarnie, sushi, włoska restauracja, sklepy, studio treningu personalnego, studio fryzur, fizjoterapia, Wrocław Medical Center, optyk, stomatolog, gabinet neurologopedyczny, centrum kardiologii, studio osteopatia, centrum zdrowia mama i ja, żłobki. Komunikacja: - w pobliżu Autostradowej Obwodnicy Wrocławia (w mieszkaniu cisza - za oknem las, ogrody działkowe i droga osiedlowa), - obok budynku przystanki tramwajowe i autobusowe. Miejsce postojowe w garażu podziemnym płatne dodatkowo 39 tys. zł. Zapraszam Biura nieruchomości zapraszam z klientem. Niniejsza prezentacja nie stanowi oferty w rozumieniu Kodeksu cywilnego.",mieszkania sprzedaż
6,3751446,https://adresowo.pl/o/mieszkanie-wroclaw-szczepin-ul-inowroclawska-2-pokojowe-s6n0t2,dzisiajnowe,6.0,Wrocław Szczepin,ul. Inowrocławska,Mieszkanie,2,39,True,480 000,12 308zł / m²,"Sprzedam 2 pokojowe mieszkanie w centrum Wrocławia. Składa się z 2 pokoi, osobnej kuchni i małej łazienki z wanną. 2 lata temu zostało odświeżone, nadaje się do natychmiastowego zamieszkania. Znajduje się na 9 piętrze w bloku z wielkiej płyty wybudowanym ok. 1974 roku. W bloku jest winda, do mieszkania przynależy komórka lokatorska ( 2 m. kw.), instalacja gazowa. Adres Wrocław ul. Inowrocławska 5, bezpośrednio przy ulicy Legnickiej, ok 500 metrów od placu Jana Pawła 1. Mieszkanie spółdzielcze własnościowe. czynsz do spółdzielni ok 700 zł. w tym ciepła i zimna woda, gaz, ogrzewanie, prąd (przy zamieszkaniu 2 osób). Mieszkanie dostępne od zaraz, oglądać można w weekendy.",mieszkania sprzedaż
7,3751092,https://adresowo.pl/o/mieszkanie-wroclaw-srodmiescie-ul-lacznosci-3-pokojowe-z1f2m1,wczoraj,20.0,Wrocław Śródmieście,ul. Łączności,Mieszkanie,3,53,True,675 000,12 736zł / m²,"Na sprzedaż mamy mieszkanie w centrum Wrocławia , jednak z uwagi na lokalizację, w cichej okolicy (ul. Łączności). W skład lokalu wchodzą: - 3 pokoje , - oddzielna kuchnia, - łazienka, - toaleta, - komórka lokatorska. Przy bloku piękne, zielone, duże, ogrodzone i monitorowane podwórko (idealne dla rodzin z dziećmi). Mieszkanie jest dwustronne (okna na wschód i zachód), dzięki czemu słońce w środku mamy cały dzień. Rozkład pomieszczeń daje swobodę w poruszaniu się w nim. Bardzo blisko szkoły i przedszkola, przystanki autobusowe i tramwajowe. Blok graniczy z ZUS-em, 300 m do Sky Towera. W pobliżu Uniwersytet Ekonomiczny. Bezpośrednio od właściciela. W razie pytań, służymy pomocą. To w tym mieszkaniu zaczęliśmy nasze wspólne życie i tutaj powstał kawał naszej historii. Teraz to ciepłe i klimatyczne mieszkanie może być Twoje.",mieszkania sprzedaż
8,3751038,https://adresowo.pl/o/mieszkanie-wroclaw-srodmiescie-ul-tadeusza-kosciuszki-1-pokoj-i2m0v8,wczoraj,8.0,Wrocław Śródmieście,ul. Tadeusza Kościuszki,Mieszkanie,1,45,True,495 000,11 000zł / m²,"Na sprzedaż mieszkanie własnościowe o powierzchni 45 m², położone w kamienicy przy ul. T. Kościuszki 173 we Wrocławiu, 2 przystanki od Galerii Dominikańskiej. Pieszo 1,8 km do Galerii Dominikańskiej, 1,4 km do dworca Wrocław Główny. --- Opis nieruchomości: • powierzchnia: 45 m² • układ: przestronny pokój, osobna kuchnia, łazienka, przedpokój • piętro: 4/5, budynek z windą • stan: mieszkanie odmalowane, nowe okna, wymaga remontu kuchni, łazienka w dobrym stanie • media: ciepła woda i ogrzewanie z sieci miejskiej • dodatkowo: piwnica • miejsca parkingowe: przy ulicy, na podwórku lub możliwość wynajęcia w okolicy (około 500 m) --- Atuty: • świetna lokalizacja - blisko centrum i głównych węzłów komunikacyjnych (tramwaje, autobusy) • pełna infrastruktura w okolicy - sklepy, markety, szkoły, przedszkola • tereny rekreacyjne w pobliżu: Niskie Łąki, Park Wschodni, ścieżki rowerowe, Kładka Zwierzyniecka • mieszkanie własnościowe z księgą wieczystą --- Opłaty: czynsz około 550 zł (w zależności od liczby mieszkańców) Cena: 495 000 zł",mieszkania sprzedaż
9,3676614,https://adresowo.pl/o/mieszkanie-wroclaw-psie-pole-ul-jana-czochralskiego-2-pokojowe-x9k1d4,,9.0,Wrocław Psie Pole,ul. Jana Czochralskiego,Mieszkanie,2,34,True,547 169,15 999zł / m²,"Nowe mieszkanie 2-pokojowe o powierzchni 34,20 m² w inwestycji Nowe Promenady - etap 2 dewelopera TRU Development, na 1 piętrze pod adresem ul. Jana Czochralskiego, Wrocław Psie Pole. Planowany termin oddania to I kwartał 2027 roku. Nowe Promenady usytuowane są w doskonałej lokalizacji na północy Wrocławia, która zapewnia wygodne i spokojne życie w harmonii z naturą. Bliskość nadodrzańskich terenów rekreacyjnych oraz szybki dostęp do tętniącego życiem centrum miasta to gwarancja komfortu i niezliczonych możliwości. Tworzymy miejsce przemyślane i nowoczesne, które spełnia najwyższe standardy. Każdy detal został starannie zaplanowany, aby stworzyć idealne warunki do codziennego życia, pracy i relaksu. Nowe Promenady to ... więcej > Nowe Promenady usytuowane są w doskonałej lokalizacji na północy Wrocławia, która zapewnia wygodne i spokojne życie w harmonii z naturą. Bliskość nadodrzańskich terenów rekreacyjnych oraz szybki dostęp do tętniącego życiem centrum miasta to gwarancja komfortu i niezliczonych możliwości. Tworzymy miejsce przemyślane i nowoczesne, które spełnia najwyższe standardy. Każdy detal został starannie zaplanowany, aby stworzyć idealne warunki do codziennego życia, pracy i relaksu. Nowe Promenady to przestrzeń, w której można cieszyć się chwilami wytchnienia, a jednocześnie być blisko ważnych punktów miasta. Nasza inwestycja to odpowiedź na potrzeby zarówno singli, jak i rodzin. Komfortowe mieszkania, nowoczesne rozwiązania architektoniczne oraz dbałość o środowisko sprawiają, że Nowe Promenady to idealne miejsce do życia. Tutaj każdy znajdzie coś dla siebie – od przestronnych apartamentów, po przytulne kawalerki. Zapraszamy do odkrycia Nowych Promenad – miejsca, które stanie się Twoim domem i przestrzenią do realizacji marzeń. Zainwestuj w przyszłość, wybierając nowoczesne i komfortowe mieszkanie w sercu Wrocławia",mieszkania sprzedaż
