"Name","BQ Project","BQ Dataset","BQ Table","Full ID","Program","Category","Reference Genome","Source","Data Type","Exp. Strategy","Status","Rows","Created","Example Joins","Description","Labels","Fields"
"ACADEMIA SINICA LUAD-100 (LUNG ADENOCARCINOMA) PHOSPHOPROTEOME","isb-cgc-bq","ICPC","quant_phosphoproteome_academia_sinica_LUAD100_pdc_current","`isb-cgc-bq.ICPC.quant_phosphoproteome_academia_sinica_LUAD100_pdc_current`","ICPC","PROCESSED -OMICS DATA","","PDC","PHOSPHOPROTEOME","","CURRENT","11,667,348","9/23/2022","","Normalized log2ratio protein abundance estimates for the Academia Sinica LUAD100-Phosphoproteome study (PDC Study ID: PDC000220) was extracted using PDC API V2.10 in August 2022. These data are part of the ICPC project. More information on the pipeline and the results generated by it can be found here: https://pdc.cancer.gov/data-dictionary/harmonization.html","access:open, category:processed_-omics_data, data_type:phosphoproteome, program:icpc, source:pdc, status:current","case_id, sample_id, aliquot_id, aliquot_submitter_id, aliquot_run_metadata_id, study_name, protein_abundance_log2ratio, refseq_id, phosphorylation_sites,"
"ACADEMIA SINICA LUAD-100 (LUNG ADENOCARCINOMA) PHOSPHOPROTEOME V2_10 VERSIONED","isb-cgc-bq","ICPC_versioned","quant_phosphoproteome_academia_sinica_LUAD100_pdc_V2_10","`isb-cgc-bq.ICPC_versioned.quant_phosphoproteome_academia_sinica_LUAD100_pdc_V2_10`","ICPC","PROCESSED -OMICS DATA","","PDC","PHOSPHOPROTEOME","","CURRENT","11,667,348","9/23/2022","","Normalized log2ratio protein abundance estimates for the Academia Sinica LUAD100-Phosphoproteome study (PDC Study ID: PDC000220) was extracted using PDC API V2.10 in August 2022. These data are part of the ICPC project. More information on the pipeline and the results generated by it can be found here: https://pdc.cancer.gov/data-dictionary/harmonization.html","access:open, category:processed_-omics_data, data_type:phosphoproteome, program:icpc, source:pdc, status:current","case_id, sample_id, aliquot_id, aliquot_submitter_id, aliquot_run_metadata_id, study_name, protein_abundance_log2ratio, refseq_id, phosphorylation_sites,"
"ACADEMIA SINICA LUAD-100 (LUNG ADENOCARCINOMA) PROTEOME","isb-cgc-bq","ICPC","quant_proteome_academia_sinica_LUAD100_pdc_current","`isb-cgc-bq.ICPC.quant_proteome_academia_sinica_LUAD100_pdc_current`","ICPC","PROCESSED -OMICS DATA","","PDC","PROTEIN EXPRESSION","","CURRENT","5,447,088","2/27/2023","","Normalized log2ratio protein abundance estimates for the Academia Sinica LUAD100-Proteome study (PDC Study ID: PDC000219) was extracted using PDC API V2.16 in February 2023. These data are part of the ICPC project. More information on the pipeline and the results generated by it can be found here: https://pdc.cancer.gov/data-dictionary/harmonization.html","access:open, category:processed_-omics_data, data_type:protein_expression, program:icpc, source:pdc, status:current","case_id, sample_id, aliquot_id, aliquot_submitter_id, aliquot_run_metadata_id, study_name, protein_abundance_log2ratio, gene_id, gene_symbol, NCBI_gene_id, authority, authority_gene_id, gene_description, organism, chromosome, locus, uniprotkb_id, uniprotkb_ids, proteins, assays,"
"ACADEMIA SINICA LUAD-100 (LUNG ADENOCARCINOMA) PROTEOME V2_16 VERSIONED","isb-cgc-bq","ICPC_versioned","quant_proteome_academia_sinica_LUAD100_pdc_V2_16","`isb-cgc-bq.ICPC_versioned.quant_proteome_academia_sinica_LUAD100_pdc_V2_16`","ICPC","PROCESSED -OMICS DATA","","PDC","PROTEIN EXPRESSION","","CURRENT","5,447,088","2/27/2023","","Normalized log2ratio protein abundance estimates for the Academia Sinica LUAD100-Proteome study (PDC Study ID: PDC000219) was extracted using PDC API V2.16 in February 2023. These data are part of the ICPC project. More information on the pipeline and the results generated by it can be found here: https://pdc.cancer.gov/data-dictionary/harmonization.html","access:open, category:processed_-omics_data, data_type:protein_expression, program:icpc, source:pdc, status:current","case_id, sample_id, aliquot_id, aliquot_submitter_id, aliquot_run_metadata_id, study_name, protein_abundance_log2ratio, gene_id, gene_symbol, NCBI_gene_id, authority, authority_gene_id, gene_description, organism, chromosome, locus, uniprotkb_id, uniprotkb_ids, proteins, assays,"
"ACADEMIA SINICA LUAD-100 CLINICAL DATA","isb-cgc-bq","ICPC","clinical_academia_sinica_LUAD_100_pdc_current","`isb-cgc-bq.ICPC.clinical_academia_sinica_LUAD_100_pdc_current`","ICPC","CLINICAL BIOSPECIMEN DATA","","PDC","CLINICAL DATA","","CURRENT","110","5/27/2021","","Data for the Academia Sinica LUAD-100 project was extracted using PDC API V1.17 in May 2021. This table contains information about patient cases and their clinical information. More details: see https://pdc.cancer.gov/data-dictionary/dictionary.html","access:open, category:clinical_biospecimen_data, data_type:clinical_data, program:icpc, source:pdc, status:current","case_id, case_submitter_id, project_submitter_id, primary_site, disease_type, demographic_id, demographic_submitter_id, gender, year_of_birth, diagnosis_id, diagnosis_submitter_id, primary_diagnosis, age_at_diagnosis, ajcc_clinical_n, classification_of_tumor, site_of_resection_or_biopsy, tissue_or_organ_of_origin, tumor_stage,"
"ACADEMIA SINICA LUAD-100 CLINICAL DATA V1_17 VERSIONED","isb-cgc-bq","ICPC_versioned","clinical_academia_sinica_LUAD_100_pdc_V1_17","`isb-cgc-bq.ICPC_versioned.clinical_academia_sinica_LUAD_100_pdc_V1_17`","ICPC","CLINICAL BIOSPECIMEN DATA","","PDC","CLINICAL DATA","","CURRENT","110","5/27/2021","","Data for the Academia Sinica LUAD-100 project was extracted using PDC API V1.17 in May 2021. This table contains information about patient cases and their clinical information. More details: see https://pdc.cancer.gov/data-dictionary/dictionary.html","access:open, category:clinical_biospecimen_data, data_type:clinical_data, program:icpc, source:pdc, status:current","case_id, case_submitter_id, project_submitter_id, primary_site, disease_type, demographic_id, demographic_submitter_id, gender, year_of_birth, diagnosis_id, diagnosis_submitter_id, primary_diagnosis, age_at_diagnosis, ajcc_clinical_n, classification_of_tumor, site_of_resection_or_biopsy, tissue_or_organ_of_origin, tumor_stage,"
"ACADEMIA SINICA LUAD-100 PER SAMPLE FILE METADATA FOR PDC","isb-cgc-bq","ICPC","per_sample_file_metadata_academia_sinica_LUAD_100_pdc_current","`isb-cgc-bq.ICPC.per_sample_file_metadata_academia_sinica_LUAD_100_pdc_current`","ICPC","METADATA","","PDC","FILE METADATA","","CURRENT","70,010","9/9/2022","","Per-sample file metadata for the Academia Sinica LUAD-100 project was generated using information from PDC data release V2.10, downloaded August 2022.","access:open, category:metadata, data_type:file_metadata, program:icpc, source:pdc, status:current","file_id, case_id, case_submitter_id, sample_id, sample_submitter_id, sample_type, project_short_name, project_submitter_id, program_short_name, program_name, data_category, experiment_type, file_type, file_size, file_format, instrument, file_name, file_location, access,"
"ACADEMIA SINICA LUAD-100 PER SAMPLE FILE METADATA FOR PDC V2_10 VERSIONED","isb-cgc-bq","ICPC_versioned","per_sample_file_metadata_academia_sinica_LUAD_100_pdc_V2_10","`isb-cgc-bq.ICPC_versioned.per_sample_file_metadata_academia_sinica_LUAD_100_pdc_V2_10`","ICPC","METADATA","","PDC","FILE METADATA","","CURRENT","70,010","9/9/2022","","Per-sample file metadata for the Academia Sinica LUAD-100 project was generated using information from PDC data release V2.10, downloaded August 2022.","access:open, category:metadata, data_type:file_metadata, program:icpc, source:pdc, status:current","file_id, case_id, case_submitter_id, sample_id, sample_submitter_id, sample_type, project_short_name, project_submitter_id, program_short_name, program_name, data_category, experiment_type, file_type, file_size, file_format, instrument, file_name, file_location, access,"
"ALIQUOT IDS TO CASE IDS","isb-cgc-bq","GDC_case_file_metadata","aliquot2caseIDmap_current","`isb-cgc-bq.GDC_case_file_metadata.aliquot2caseIDmap_current`","","METADATA","","GDC","FILE METADATA","","CURRENT","257,849","6/28/2024","","Data was generated from file metadata information from the GDC release 40, downloaded April 2024. Aliquot barcodes are mapped to case information. More details: https://docs.gdc.cancer.gov/Data/Release_Notes/Data_Release_Notes/#data-release-400","access:open, category:metadata, data_type:file_metadata, source:gdc, status:current","program_name, project_id, case_gdc_id, case_barcode, sample_gdc_id, sample_barcode, sample_type, sample_type_name, sample_is_ffpe, sample_preservation_method, portion_gdc_id, portion_barcode, analyte_gdc_id, analyte_barcode, aliquot_gdc_id, aliquot_barcode,"
"ALIQUOT IDS TO CASE IDS REL40 VERSIONED","isb-cgc-bq","GDC_case_file_metadata_versioned","aliquot2caseIDmap_r40","`isb-cgc-bq.GDC_case_file_metadata_versioned.aliquot2caseIDmap_r40`","","METADATA","","GDC","FILE METADATA","","CURRENT","257,849","6/28/2024","","Data was generated from file metadata information from the GDC release 40, downloaded April 2024. Aliquot barcodes are mapped to case information. More details: https://docs.gdc.cancer.gov/Data/Release_Notes/Data_Release_Notes/#data-release-400","access:open, category:metadata, data_type:file_metadata, source:gdc, status:current","program_name, project_id, case_gdc_id, case_barcode, sample_gdc_id, sample_barcode, sample_type, sample_type_name, sample_is_ffpe, sample_preservation_method, portion_gdc_id, portion_barcode, analyte_gdc_id, analyte_barcode, aliquot_gdc_id, aliquot_barcode,"
