,0
0,VPS52_expression
1,PLAUR_expression
2,TIFAB_expression
3,GABBR1_expression
4,HSPD1_expression
5,PTPN22_expression
6,IRAK3_expression
7,PITPNA_expression
8,FYN_expression
9,TRIP13_expression
10,S100A9_expression
11,GRB10_expression
12,DUSP23_expression
13,TNS3_expression
14,F8_expression
15,ADAM15_expression
16,PIP4K2B_expression
17,PRDX2_expression
18,NPM1_expression
19,NRP2_expression
20,TIMP3_expression
21,ANXA1_expression
22,B3GNTL1_expression
23,SYNC_expression
24,EGFR_expression
25,KRTAP12-3_expression
26,DUSP7_expression
27,CREBBP_expression
28,YWHAG_expression
29,YES1_expression
30,PDGFA_expression
31,ZZEF1_expression
32,EFEMP2_expression
33,FGF10_expression
34,ANTXR1_expression
35,RPL24_expression
36,CLU_expression
37,PTPN2_expression
38,TGFB1_expression
39,LRP6_expression
40,NOS3_expression
41,RASA2_expression
42,ARHGAP15_expression
43,CSF3R_expression
44,P2RY8_expression
45,F2_expression
46,FLT1_expression
47,CALM1_expression
48,HSPG2_expression
49,CYSLTR1_expression
50,CXCR2_expression
51,RAB11FIP1_expression
52,CCL23_expression
53,CALM3_expression
54,PIK3R3_expression
55,FBXW11_expression
56,GSTP1_expression
57,GRAP_expression
58,BCR_expression
59,ACP1_expression
60,SOCS6_expression
61,VAV3_expression
62,PTP4A1_expression
63,DUSP6_expression
64,DDR2_expression
65,EMR2_expression
66,TNNC1_expression
67,MAF_expression
68,TLR8_expression
69,CREB1_expression
70,WASF1_expression
71,GABBR2_expression
72,PTPN7_expression
73,SOCS1_expression
74,FRAT1_expression
75,CBX3_expression
76,S1PR4_expression
77,RALGDS_expression
78,DAGLB_expression
79,UBA52_expression
80,MYB_expression
81,PIK3R1_expression
82,ZMYM2_expression
83,IRF3_expression
84,DOK1_expression
85,STAT4_expression
86,RYR1_expression
87,ARPC1B_expression
88,CD28_expression
89,CCR2_expression
90,INPP5J_expression
91,PTPRQ_expression
92,CDH5_expression
93,ARR3_expression
94,SGK1_expression
95,PEX5_expression
96,TFRC_expression
97,BCL2L1_expression
98,CEBPE_expression
99,COL1A2_expression
100,SRC_expression
101,ITGA11_expression
102,PFN1_expression
103,SSH3_expression
104,PRL_expression
105,NRAS_expression
106,FCER1G_expression
107,PPIL2_expression
108,PLXNA1_expression
109,CD80_expression
110,PGF_expression
111,SH2B2_expression
112,MAPK3_expression
113,PRKCQ_expression
114,TXNIP_expression
115,TRAF3IP1_expression
116,HLX_expression
117,NFATC2_expression
118,KLHL12_expression
119,ATG16L2_expression
120,C16orf54_expression
121,MAPK1_expression
122,DNM1L_expression
123,GNAQ_expression
124,PRSS57_expression
125,ETS2_expression
126,BLNK_expression
127,ARPC2_expression
128,FGFR1OP_expression
129,ABI2_expression
130,SP1_expression
131,COPA_expression
132,SNCA_expression
133,PDGFRB_expression
134,AXL_expression
135,NEDD4_expression
136,COL5A1_expression
137,SPHK1_expression
138,MET_expression
139,HMOX1_expression
140,ITGA5_expression
141,NEBL_expression
142,LGMN_expression
143,HMGCS1_expression
144,HAL_expression
145,PIP5K1A_expression
146,ZHX2_expression
147,TMEM204_expression
148,LGALS3_expression
149,SLC22A16_expression
150,PDGFC_expression
151,PTEN_expression
152,GRAP2_expression
153,C1orf162_expression
154,NR0B2_expression
155,MAPK14_expression
156,CDC14A_expression
157,MMP9_expression
158,NCF4_expression
159,FARP1_expression
160,PTPRC_expression
161,WDR35_expression
162,IRF1_expression
163,CRK_expression
164,SLA2_expression
165,DUSP4_expression
166,DUSP5_expression
167,NTRK1_expression
168,PTPRR_expression
169,MEF2D_expression
170,CD59_expression
171,LY86_expression
172,LAIR1_expression
173,ZDHHC23_expression
174,MYCN_expression
175,LILRB4_expression
176,INTU_expression
177,ETS1_expression
178,INPPL1_expression
179,RCHY1_expression
180,NFYA_expression
181,HSP90B1_expression
182,SLC9A3R1_expression
183,GATA2_expression
184,EPHB1_expression
185,PIP5K1B_expression
186,PRKCZ_expression
187,DUSP22_expression
188,TSPYL4_expression
189,CDK5_expression
190,MDFI_expression
191,ULBP2_expression
192,NRP1_expression
193,C10orf10_expression
194,REL_expression
195,PTPRB_expression
196,LEF1_expression
197,FES_expression
198,SHF_expression
199,FAM78A_expression
200,MAPK12_expression
201,TPD52_expression
202,DUSP9_expression
203,CAV1_expression
204,UCP1_expression
205,MAX_expression
206,PTPN3_expression
207,SMURF1_expression
208,HSP90AA1_expression
209,GREM1_expression
210,ROCK1_expression
211,PTPN18_expression
212,CPSF6_expression
213,ONECUT1_expression
214,FLOT1_expression
215,FOXK1_expression
216,GNA11_expression
217,TJP1_expression
218,BTK_expression
219,S1PR2_expression
220,NFKB1_expression
221,ABL1_expression
222,IL1R1_expression
223,PRTN3_expression
224,GRB7_expression
225,TCEAL1_expression
226,ZNF250_expression
227,FGF1_expression
228,KHDRBS1_expression
229,SH2B1_expression
230,KCNE1L_expression
231,ANXA5_expression
232,LAPTM4B_expression
233,VAMP8_expression
234,PIP5K1C_expression
235,RAF1_expression
