modality,column_index,column_name
mutation,0,A1BG
mutation,1,A1CF
mutation,2,A2M
mutation,3,A2ML1
mutation,4,A3GALT2
mutation,5,A4GALT
mutation,6,A4GNT
mutation,7,AAAS
mutation,8,AACS
mutation,9,AADAC
mutation,10,AADACL2
mutation,11,AADACL3
mutation,12,AADACL4
mutation,13,AADAT
mutation,14,AAGAB
mutation,15,AAK1
mutation,16,AAMDC
mutation,17,AAMP
mutation,18,AANAT
mutation,19,AAR2
mutation,20,AARD
mutation,21,AARS1
mutation,22,AARS2
mutation,23,AASDH
mutation,24,AASDHPPT
mutation,25,AASS
mutation,26,AATF
mutation,27,AATK
mutation,28,ABAT
mutation,29,ABCA1
mutation,30,ABCA10
mutation,31,ABCA12
mutation,32,ABCA13
mutation,33,ABCA2
mutation,34,ABCA3
mutation,35,ABCA4
mutation,36,ABCA5
mutation,37,ABCA6
mutation,38,ABCA7
mutation,39,ABCA8
mutation,40,ABCA9
mutation,41,ABCB1
mutation,42,ABCB10
mutation,43,ABCB11
mutation,44,ABCB4
mutation,45,ABCB5
mutation,46,ABCB6
mutation,47,ABCB7
mutation,48,ABCB8
mutation,49,ABCB9
mutation,50,ABCC1
mutation,51,ABCC10
mutation,52,ABCC11
mutation,53,ABCC12
mutation,54,ABCC2
mutation,55,ABCC3
mutation,56,ABCC4
mutation,57,ABCC5
mutation,58,ABCC6
mutation,59,ABCC8
mutation,60,ABCC9
mutation,61,ABCD1
mutation,62,ABCD2
mutation,63,ABCD3
mutation,64,ABCD4
mutation,65,ABCE1
mutation,66,ABCF1
mutation,67,ABCF2
mutation,68,ABCF3
mutation,69,ABCG1
mutation,70,ABCG2
mutation,71,ABCG4
mutation,72,ABCG5
mutation,73,ABCG8
mutation,74,ABHD1
mutation,75,ABHD10
mutation,76,ABHD11
mutation,77,ABHD12
mutation,78,ABHD12B
mutation,79,ABHD13
mutation,80,ABHD14A
mutation,81,ABHD14B
mutation,82,ABHD15
mutation,83,ABHD16A
mutation,84,ABHD16B
mutation,85,ABHD17A
mutation,86,ABHD17B
mutation,87,ABHD17C
mutation,88,ABHD18
mutation,89,ABHD2
mutation,90,ABHD3
mutation,91,ABHD4
mutation,92,ABHD5
mutation,93,ABHD6
mutation,94,ABHD8
mutation,95,ABI1
mutation,96,ABI2
mutation,97,ABI3
mutation,98,ABI3BP
mutation,99,ABITRAM
mutation,100,ABL1
mutation,101,ABL2
mutation,102,ABLIM1
mutation,103,ABLIM2
mutation,104,ABLIM3
mutation,105,ABO
mutation,106,ABR
mutation,107,ABRA
mutation,108,ABRACL
mutation,109,ABRAXAS1
mutation,110,ABRAXAS2
mutation,111,ABT1
mutation,112,ABTB1
mutation,113,ABTB2
mutation,114,ACAA1
mutation,115,ACAA2
mutation,116,ACACA
mutation,117,ACACB
mutation,118,ACAD10
mutation,119,ACAD11
mutation,120,ACAD8
mutation,121,ACAD9
mutation,122,ACADL
mutation,123,ACADM
mutation,124,ACADS
mutation,125,ACADSB
mutation,126,ACADVL
mutation,127,ACAN
mutation,128,ACAP1
mutation,129,ACAP2
mutation,130,ACAP3
mutation,131,ACAT1
mutation,132,ACAT2
mutation,133,ACBD3
mutation,134,ACBD4
mutation,135,ACBD5
mutation,136,ACBD6
mutation,137,ACBD7
mutation,138,ACCS
mutation,139,ACCSL
mutation,140,ACD
mutation,141,ACE
mutation,142,ACE2
mutation,143,ACER1
mutation,144,ACER2
mutation,145,ACER3
mutation,146,ACHE
mutation,147,ACIN1
mutation,148,ACKR1
mutation,149,ACKR2
mutation,150,ACKR3
mutation,151,ACKR4
mutation,152,ACLY
mutation,153,ACMSD
mutation,154,ACO1
mutation,155,ACO2
mutation,156,ACOD1
mutation,157,ACOT1
mutation,158,ACOT11
mutation,159,ACOT12
mutation,160,ACOT13
mutation,161,ACOT2
mutation,162,ACOT4
mutation,163,ACOT6
mutation,164,ACOT7
mutation,165,ACOT8
mutation,166,ACOT9
mutation,167,ACOX1
mutation,168,ACOX2
mutation,169,ACOX3
mutation,170,ACOXL
mutation,171,ACP1
mutation,172,ACP2
mutation,173,ACP3
mutation,174,ACP4
mutation,175,ACP5
mutation,176,ACP6
mutation,177,ACP7
mutation,178,ACR
mutation,179,ACRBP
mutation,180,ACRV1
mutation,181,ACSBG1
mutation,182,ACSBG2
mutation,183,ACSF2
mutation,184,ACSF3
mutation,185,ACSL1
mutation,186,ACSL3
mutation,187,ACSL4
mutation,188,ACSL5
mutation,189,ACSL6
mutation,190,ACSM1
mutation,191,ACSM2A
mutation,192,ACSM2B
mutation,193,ACSM3
mutation,194,ACSM4
mutation,195,ACSM5
mutation,196,ACSM6
mutation,197,ACSS1
mutation,198,ACSS2
mutation,199,ACSS3
mutation,200,ACTA1
mutation,201,ACTA2
mutation,202,ACTB
mutation,203,ACTBL2
mutation,204,ACTC1
mutation,205,ACTG1
mutation,206,ACTG2
mutation,207,ACTL10
mutation,208,ACTL6A
mutation,209,ACTL6B
mutation,210,ACTL7A
mutation,211,ACTL7B
mutation,212,ACTL8
mutation,213,ACTL9
mutation,214,ACTN1
mutation,215,ACTN2
mutation,216,ACTN3
mutation,217,ACTN4
mutation,218,ACTR10
mutation,219,ACTR1A
mutation,220,ACTR1B
mutation,221,ACTR2
mutation,222,ACTR3
mutation,223,ACTR3B
mutation,224,ACTR3C
mutation,225,ACTR5
mutation,226,ACTR6
mutation,227,ACTR8
mutation,228,ACTRT1
mutation,229,ACTRT2
mutation,230,ACTRT3
mutation,231,ACVR1
mutation,232,ACVR1B
mutation,233,ACVR1C
mutation,234,ACVR2A
mutation,235,ACVR2B
mutation,236,ACVRL1
mutation,237,ACY1
mutation,238,ACY3
mutation,239,ACYP1
mutation,240,ACYP2
mutation,241,ADA
mutation,242,ADA2
mutation,243,ADAD1
mutation,244,ADAD2
mutation,245,ADAL
mutation,246,ADAM10
mutation,247,ADAM11
mutation,248,ADAM12
mutation,249,ADAM15
mutation,250,ADAM17
mutation,251,ADAM18
mutation,252,ADAM19
mutation,253,ADAM2
mutation,254,ADAM20
mutation,255,ADAM21
mutation,256,ADAM22
mutation,257,ADAM23
mutation,258,ADAM28
mutation,259,ADAM29
mutation,260,ADAM30
mutation,261,ADAM32
mutation,262,ADAM33
mutation,263,ADAM7
mutation,264,ADAM8
mutation,265,ADAM9
mutation,266,ADAMDEC1
mutation,267,ADAMTS1
mutation,268,ADAMTS10
mutation,269,ADAMTS12
mutation,270,ADAMTS13
mutation,271,ADAMTS14
mutation,272,ADAMTS15
mutation,273,ADAMTS16
mutation,274,ADAMTS17
mutation,275,ADAMTS18
mutation,276,ADAMTS19
mutation,277,ADAMTS2
mutation,278,ADAMTS20
mutation,279,ADAMTS3
mutation,280,ADAMTS4
mutation,281,ADAMTS5
mutation,282,ADAMTS6
mutation,283,ADAMTS7
mutation,284,ADAMTS8
mutation,285,ADAMTS9
mutation,286,ADAMTSL1
mutation,287,ADAMTSL2
mutation,288,ADAMTSL3
mutation,289,ADAMTSL4
mutation,290,ADAMTSL5
mutation,291,ADAP1
mutation,292,ADAP2
mutation,293,ADAR
mutation,294,ADARB1
mutation,295,ADARB2
mutation,296,ADAT1
mutation,297,ADAT2
mutation,298,ADAT3
mutation,299,ADCK1
mutation,300,ADCK2
mutation,301,ADCK5
mutation,302,ADCY1
mutation,303,ADCY10
mutation,304,ADCY2
mutation,305,ADCY3
mutation,306,ADCY4
mutation,307,ADCY5
mutation,308,ADCY6
mutation,309,ADCY7
mutation,310,ADCY8
mutation,311,ADCY9
mutation,312,ADCYAP1
mutation,313,ADCYAP1R1
mutation,314,ADD1
mutation,315,ADD2
mutation,316,ADD3
mutation,317,ADGB
mutation,318,ADGRA1
mutation,319,ADGRA2
mutation,320,ADGRA3
mutation,321,ADGRB1
mutation,322,ADGRB2
mutation,323,ADGRB3
mutation,324,ADGRD1
mutation,325,ADGRD2
mutation,326,ADGRE1
mutation,327,ADGRE2
mutation,328,ADGRE3
mutation,329,ADGRE5
mutation,330,ADGRF1
mutation,331,ADGRF2
mutation,332,ADGRF3
mutation,333,ADGRF4
mutation,334,ADGRF5
mutation,335,ADGRG1
mutation,336,ADGRG2
mutation,337,ADGRG3
mutation,338,ADGRG4
mutation,339,ADGRG5
mutation,340,ADGRG6
mutation,341,ADGRG7
mutation,342,ADGRL1
mutation,343,ADGRL2
mutation,344,ADGRL3
mutation,345,ADGRL4
mutation,346,ADGRV1
mutation,347,ADH1A
mutation,348,ADH1B
mutation,349,ADH1C
mutation,350,ADH4
mutation,351,ADH5
mutation,352,ADH6
mutation,353,ADH7
mutation,354,ADHFE1
mutation,355,ADI1
mutation,356,ADIG
mutation,357,ADIPOQ
mutation,358,ADIPOR1
mutation,359,ADIPOR2
mutation,360,ADIRF
mutation,361,ADK
mutation,362,ADM
mutation,363,ADM2
mutation,364,ADM5
mutation,365,ADNP
mutation,366,ADNP2
mutation,367,ADO
mutation,368,ADORA1
mutation,369,ADORA2A
mutation,370,ADORA2B
mutation,371,ADORA3
mutation,372,ADPGK
mutation,373,ADPRH
mutation,374,ADPRHL1
mutation,375,ADPRM
mutation,376,ADPRS
mutation,377,ADRA1A
mutation,378,ADRA1B
mutation,379,ADRA1D
mutation,380,ADRA2A
mutation,381,ADRA2B
mutation,382,ADRA2C
mutation,383,ADRB1
mutation,384,ADRB2
mutation,385,ADRB3
mutation,386,ADRM1
mutation,387,ADSL
mutation,388,ADSS1
mutation,389,ADSS2
mutation,390,ADTRP
mutation,391,AEBP1
mutation,392,AEBP2
mutation,393,AEN
mutation,394,AFAP1
mutation,395,AFAP1L1
mutation,396,AFAP1L2
mutation,397,AFDN
mutation,398,AFF1
mutation,399,AFF2
mutation,400,AFF3
mutation,401,AFF4
mutation,402,AFG1L
mutation,403,AFG3L2
mutation,404,AFM
mutation,405,AFMID
mutation,406,AFP
mutation,407,AFTPH
mutation,408,AGA
mutation,409,AGAP1
mutation,410,AGAP2
mutation,411,AGAP3
mutation,412,AGAP4
mutation,413,AGAP5
mutation,414,AGAP6
mutation,415,AGAP9
mutation,416,AGBL1
mutation,417,AGBL2
mutation,418,AGBL3
mutation,419,AGBL4
mutation,420,AGBL5
mutation,421,AGER
mutation,422,AGFG1
mutation,423,AGFG2
mutation,424,AGGF1
mutation,425,AGK
mutation,426,AGL
mutation,427,AGMAT
mutation,428,AGMO
mutation,429,AGO1
mutation,430,AGO2
mutation,431,AGO3
mutation,432,AGO4
mutation,433,AGPAT1
mutation,434,AGPAT2
mutation,435,AGPAT3
mutation,436,AGPAT4
mutation,437,AGPAT5
mutation,438,AGPS
mutation,439,AGR2
mutation,440,AGR3
mutation,441,AGRN
mutation,442,AGRP
mutation,443,AGT
mutation,444,AGTPBP1
mutation,445,AGTR1
mutation,446,AGTR2
mutation,447,AGTRAP
mutation,448,AGXT
mutation,449,AGXT2
mutation,450,AHCTF1
mutation,451,AHCY
mutation,452,AHCYL1
mutation,453,AHCYL2
mutation,454,AHDC1
mutation,455,AHI1
mutation,456,AHNAK
mutation,457,AHNAK2
mutation,458,AHR
mutation,459,AHRR
mutation,460,AHSA1
mutation,461,AHSG
mutation,462,AHSP
mutation,463,AICDA
mutation,464,AIDA
mutation,465,AIF1
mutation,466,AIF1L
mutation,467,AIFM1
mutation,468,AIFM2
mutation,469,AIFM3
mutation,470,AIG1
mutation,471,AIM2
mutation,472,AIMP1
mutation,473,AIMP2
mutation,474,AIP
mutation,475,AIPL1
mutation,476,AIRE
mutation,477,AJAP1
mutation,478,AJM1
mutation,479,AJUBA
mutation,480,AK1
mutation,481,AK2
mutation,482,AK3
mutation,483,AK4
mutation,484,AK5
mutation,485,AK6
mutation,486,AK7
mutation,487,AK8
mutation,488,AK9
mutation,489,AKAP1
mutation,490,AKAP10
mutation,491,AKAP11
mutation,492,AKAP12
mutation,493,AKAP13
