zinc_id,smiles
ZINC000000399507,NC(=O)c1cnn(CCO)c1N
ZINC000001556834,Cn1nc(CC(=O)O)c(C(N)=O)c1N
ZINC000001576801,Cn1ncc2c(=O)[nH]c(=O)[nH]c21
ZINC000001590883,O=c1cc(O)n(C2=NCCN2)[nH]1
ZINC000001610236,N=C(N)N/N=C/c1cnn(C(=N)N)c1
ZINC000001668133,Cn1ncc2[nH]c(=O)n(O)c(=O)c21
ZINC000001698997,Cn1c(=O)[nH]c2c(cnn2C)c1=O
ZINC000001718420,Cc1nn(CCO)c(N)c1C(N)=O
ZINC000002283694,Cn1cc([N+](=O)[O-])c(C(=O)NN)n1
ZINC000002388724,NNC(=O)Cn1cc([N+](=O)[O-])cn1
ZINC000002537660,Cn1nc(C(=O)O)cc1C(=O)NN
ZINC000002567017,N#Cc1cnn(-c2nncn2N)c1N
ZINC000003852436,Nc1nc(=O)[nH]c2c1cnn2CCO
ZINC000003852646,Cn1ncc2c(=N)n(N)cnc21
ZINC000004179807,NC(=O)c1cc([N+](=O)[O-])nn1N
ZINC000004460103,NC(=O)c1cn(N)nc1[N+](=O)[O-]
ZINC000004533409,NC(=O)c1c(CC(=O)O)n[nH]c1N
ZINC000004626278,O=[N+]([O-])c1c[nH]nc1-[n+]1nnc(O)o1
ZINC000004984490,Cc1[nH]nc2c(=O)n(N)nnc12
ZINC000005386791,Cn1c(=O)c2c[nH]nc2n(C)c1=O
ZINC000005479371,Nn1cnc2n[nH]cc2c1=O
ZINC000005955265,Cc1[nH]n(C(=N)N)c(=O)c1CCO
ZINC000006161468,NNC(=O)Cc1cc[nH]n1
ZINC000006188120,O=c1n[n+](-c2[nH]ncc2[N+](=O)[O-])[nH]o1
ZINC000007036852,Nc1nn(CCO)c(N)c1[N+](=O)[O-]
ZINC000012357839,Cc1nn(C)cc1S(=O)(=O)NN
ZINC000012357840,Cn1cc(S(=O)(=O)NN)cn1
ZINC000012357841,Cc1c(S(=O)(=O)NN)cnn1C
ZINC000012394697,O=C(O)Cn1ncn2nccc2c1=O
ZINC000012398428,Cn1cc(CNS(N)(=O)=O)cn1
ZINC000012505823,Cn1ncc2c(=O)n(N)cnc21
ZINC000016942410,Nc1cc(N)n(C2=NCCN2)n1
ZINC000016969122,Cn1ncc2c(=O)[nH]c(NN)nc21
ZINC000018166902,NNC(=O)c1[nH]ncc1[N+](=O)[O-]
ZINC000019737344,Nc1[nH][nH]c(=O)c1C(=O)O
ZINC000019810519,NC(=O)Cn1cc(N)cn1
ZINC000019932798,O=c1nnn(-c2[nH]ncc2[N+](=O)[O-])o1
ZINC000031794241,N=C(N)n1cc(/C=N\N=C(N)N)cn1
ZINC000032935051,CS(=O)(=O)n1nc(O)cc1N
ZINC000033487289,Cn1ncc(C(=O)NCC(=O)O)c1N
ZINC000033895591,NS(=O)(=O)c1[nH]ncc1C(=O)O
ZINC000035321183,Nc1cnn(CC(=O)NCCO)c1
ZINC000036379451,Cn1cc(S(N)(=O)=O)c(N)n1
ZINC000036379842,NC(=O)Cn1ccc(N)n1
