Hugo Symbol,Entrez Gene ID,GRCh37 Isoform,GRCh37 RefSeq,GRCh38 Isoform,GRCh38 RefSeq,Gene Type,# of occurrence within resources (Column J-P),OncoKB Annotated,MSK-IMPACT,MSK-HEME,FOUNDATION ONE,FOUNDATION ONE HEME,Vogelstein,COSMIC CGC (v99),Gene Aliases,gene,chromosome,start,end,strand
ABL1,25,ENST00000318560,NM_005157.4,ENST00000318560,NM_005157.4,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"ABL, JTK7, c-ABL",ABL1,9,130713043,130887675,1
AKT1,207,ENST00000349310,NM_001014431.1,ENST00000349310,NM_001014431.1,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AKT, PKB, PRKBA, RAC, RAC-alpha",AKT1,14,104769348,104799934,-1
ALK,238,ENST00000389048,NM_004304.4,ENST00000389048,NM_004304.4,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CD246,ALK,2,29192774,29921586,-1
AMER1,139285,ENST00000330258,NM_152424.3,ENST00000374869,NM_152424.3,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"FAM123B, FLJ39827, RP11-403E24.2, WTX",AMER1,X,64185117,64205708,-1
APC,324,ENST00000257430,NM_000038.5,ENST00000257430,NM_000038.5,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"DP2.5, PPP1R46",APC,5,112707498,112846239,1
AR,367,ENST00000374690,NM_000044.3,ENST00000374690,NM_000044.3,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AIS, DHTR, HUMARA, NR3C4, SBMA, SMAX1",AR,X,67543353,67730619,1
ARID1A,8289,ENST00000324856,NM_006015.4,ENST00000324856,NM_006015.4,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"B120, BAF250, BAF250a, C10rf4, C1orf4, P270, SMARCF1",ARID1A,1,26693236,26782104,1
ASXL1,171023,ENST00000375687,NM_015338.5,ENST00000375687,NM_015338.5,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,KIAA0978,ASXL1,20,32358266,32439319,1
ATM,472,ENST00000278616,NM_000051.3,ENST00000278616,NM_000051.3,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"ATA, ATC, ATD, ATDC, TEL1, TELO1",ATM,11,108222804,108369102,1
ATRX,546,ENST00000373344,NM_000489.3,ENST00000373344,NM_000489.3,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"JMS, MRX52, RAD54, XH2, XNP",ATRX,X,77504880,77786233,-1
AXIN1,8312,ENST00000262320,NM_003502.3,ENST00000262320,NM_003502.3,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PPP1R49,AXIN1,16,287440,352730,-1
BAP1,8314,ENST00000460680,NM_004656.3,ENST00000460680,NM_004656.3,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"KIAA0272, UCHL2, hucep-6",BAP1,3,52401008,52410008,-1
BCL2,596,ENST00000333681,NM_000633.2,ENST00000333681,NM_000633.2,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Bcl-2, PPP1R50",BCL2,18,63123346,63320128,-1
BCOR,54880,ENST00000378444,NM_001123385.1,ENST00000378444,NM_001123385.1,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"FLJ20285, KIAA1575",BCOR,X,40049815,40177329,-1
BRAF,673,ENST00000288602,NM_004333.4,ENST00000646891,NM_004333.4,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BRAF1,BRAF,7,140719327,140924976,-1
BRCA1,672,ENST00000357654,NM_007294.3,ENST00000357654,NM_007294.3,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"FANCS, PPP1R53, RNF53",BRCA1,17,43044292,43170245,-1
BRCA2,675,ENST00000380152,NM_000059.3,ENST00000380152,NM_000059.3,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"FAD1, FANCD1, XRCC11",BRCA2,13,32315086,32400268,1
CARD11,84433,ENST00000396946,NM_032415.4,ENST00000396946,NM_032415.4,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"BIMP3, CARMA1",CARD11,7,2906141,3044228,-1
CBL,867,ENST00000264033,NM_005188.3,ENST00000264033,NM_005188.3,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"CBL2, RNF55, c-Cbl",CBL,11,119206298,119313926,1
CDC73,79577,ENST00000367435,NM_024529.4,ENST00000367435,NM_024529.4,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"C1orf28, FIHP, HRPT1, HRPT2, parafibromin",CDC73,1,193115732,193264613,1
CDH1,999,ENST00000261769,NM_004360.3,ENST00000261769,NM_004360.3,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"CD324, UVO, uvomorulin",CDH1,16,68737292,68835540,1
CDKN2A,1029,ENST00000304494,NM_000077.4,ENST00000304494,NM_000077.4,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"ARF, CDKN2, CMM2, INK4, INK4a, MLM, p14, p14ARF, p16, p16INK4a, p19Arf",CDKN2A,9,21967752,21995301,-1
CEBPA,1050,ENST00000498907,NM_004364.3,ENST00000498907,NM_004364.3,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"C/EBP-alpha, CEBP",CEBPA,19,33299934,33302534,-1
CIC,23152,ENST00000575354,NM_015125.3,ENST00000575354,NM_015125.3,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,KIAA0306,CIC,19,42268537,42295801,1
CREBBP,1387,ENST00000262367,NM_004380.2,ENST00000262367,NM_004380.2,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"KAT3A, RSTS, RTS",CREBBP,16,3725054,3880713,-1
CTNNB1,1499,ENST00000349496,NM_001904.3,ENST00000349496,NM_001904.3,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"CTNNB, armadillo, beta-catenin",CTNNB1,3,41194741,41260096,1
DAXX,1616,ENST00000374542,NM_001141970.1,ENST00000266000,NM_001141970.1,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DAP6,DAXX,6,33318558,33323259,-1
DNMT3A,1788,ENST00000264709,NM_022552.4,ENST00000264709,NM_022552.4,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,DNMT3A,2,25227855,25342590,-1
EGFR,1956,ENST00000275493,NM_005228.3,ENST00000275493,NM_005228.3,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"ERBB, ERBB1, ERRP",EGFR,7,55018820,55211628,1
EP300,2033,ENST00000263253,NM_001429.3,ENST00000263253,NM_001429.3,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"KAT3B, p300",EP300,22,41091816,41180077,1
ERBB2,2064,ENST00000269571,NM_004448.2,ENST00000269571,NM_004448.2,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"CD340, HER-2, HER2, NGL",ERBB2,17,39687914,39730426,1
EZH2,2146,ENST00000320356,NM_004456.4,ENST00000320356,NM_004456.4,ONCOGENE_AND_TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"ENX-1, KMT6, KMT6A",EZH2,7,148807257,148884330,-1
FBXW7,55294,ENST00000281708,NM_033632.3,ENST00000281708,NM_033632.3,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AGO, CDC4, FBW7, FBX30, FBXW6, FLJ11071, SEL-10, SEL10",FBXW7,4,152320544,152536107,-1
FGFR2,2263,ENST00000358487,NM_000141.4,ENST00000358487,NM_000141.4,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"BEK, CD332, CEK3, CFD1, ECT1, JWS, K-SAM, KGFR, TK14, TK25",FGFR2,10,121478332,121598458,-1
FGFR3,2261,ENST00000260795,NM_000142.4,ENST00000440486,NM_000142.4,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"ACH, CD333, CEK2, JTK4",FGFR3,4,1793286,1808873,1
FLT3,2322,ENST00000241453,NM_004119.2,ENST00000241453,NM_004119.2,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"CD135, FLK2, STK1",FLT3,13,28003274,28100592,-1
FOXL2,668,ENST00000330315,NM_023067.3,ENST00000648323,NM_023067.3,ONCOGENE_AND_TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"BPES, BPES1",FOXL2,3,138944224,138947137,-1
GATA3,2625,ENST00000346208,NM_002051.2,ENST00000346208,NM_002051.2,ONCOGENE_AND_TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,HDR,GATA3,10,8045315,8075198,1
GNA11,2767,ENST00000078429,NM_002067.2,ENST00000078429,NM_002067.2,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"FBH, FBH2, FHH2, HHC2",GNA11,19,3094362,3123999,1
GNAQ,2776,ENST00000286548,NM_002072.3,ENST00000286548,NM_002072.3,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"G-ALPHA-q, GAQ",GNAQ,9,77716097,78031972,-1
GNAS,2778,ENST00000371085,NM_000516.4,ENST00000371085,NM_000516.4,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"GNAS1, GNASXL, GPSA, NESP, NESP55, SCG6, SgVI",GNAS,20,58839718,58911192,1
HNF1A,6927,ENST00000257555,NM_000545.5,ENST00000257555,NM_000545.5,TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"HNF1, LFB1, MODY3, TCF1",HNF1A,12,120978543,121002512,1
HRAS,3265,ENST00000451590,NM_005343.2,ENST00000451590,NM_005343.2,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,HRAS1,HRAS,11,532242,537343,-1
IDH1,3417,ENST00000345146,NM_005896.2,ENST00000345146,NM_005896.2,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,IDH1,2,208236224,208266095,-1
IDH2,3418,ENST00000330062,NM_002168.2,ENST00000330062,NM_002168.2,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,IDH2,15,90083045,90102490,-1
JAK1,3716,ENST00000342505,NM_002227.2,ENST00000342505,NM_002227.2,ONCOGENE_AND_TSG,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"JAK1A, JAK1B, JTK3",JAK1,1,64833223,65067754,-1
JAK2,3717,ENST00000381652,NM_004972.3,ENST00000381652,NM_004972.3,ONCOGENE,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,JTK10,JAK2,9,4984390,5129948,1
